strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2017-01-10,330.72,9.600000000000001,0.966,0.976,2017-01-10,9,36,2017,1,10,2017-01-10 09:36:00
2017-09-26,323.6,9.9,0.962,0.976,2017-09-26,9,54,2017,9,26,2017-09-26 09:54:00
2017-01-28,320.16,9.700000000000001,0.964,0.974,2017-01-28,9,42,2017,1,28,2017-01-28 09:42:00
2016-01-04,318.7,9.700000000000001,0.962,0.972,2016-01-04,9,42,2016,1,4,2016-01-04 09:42:00
2016-04-22,312.3,10.0,0.962,0.974,2016-04-22,10,0,2016,4,22,2016-04-22 10:00:00
2016-09-08,302.32,10.9,0.962,0.976,2016-09-08,10,54,2016,9,8,2016-09-08 10:54:00
2017-02-13,312.38,9.700000000000001,0.962,0.976,2017-02-13,9,42,2017,2,13,2017-02-13 09:42:00
2017-08-19,296.02,10.0,0.962,0.972,2017-08-19,10,0,2017,8,19,2017-08-19 10:00:00
2018-08-11,298.36,10.700000000000001,0.962,0.972,2018-08-11,10,42,2018,8,11,2018-08-11 10:42:00
2018-03-13,309.12,11.0,0.966,0.49,2018-03-13,11,0,2018,3,13,2018-03-13 11:00:00
2017-10-01,308.32,10.700000000000001,0.966,0.972,2017-10-01,10,42,2017,10,1,2017-10-01 10:42:00
2017-10-03,318.12,9.9,0.968,0.49,2017-10-03,9,54,2017,10,3,2017-10-03 09:54:00
2018-11-23,320.8,9.600000000000001,0.966,0.976,2018-11-23,9,36,2018,11,23,2018-11-23 09:36:00
2017-07-11,293.6,9.9,0.962,0.972,2017-07-11,9,54,2017,7,11,2017-07-11 09:54:00
2016-01-27,328.6,10.4,0.49,0.49,2016-01-27,10,24,2016,1,27,2016-01-27 10:24:00
2018-09-09,305.88,10.700000000000001,0.962,0.976,2018-09-09,10,42,2018,9,9,2018-09-09 10:42:00
2018-01-21,324.16,10.700000000000001,0.964,0.976,2018-01-21,10,42,2018,1,21,2018-01-21 10:42:00
2017-02-19,316.34000000000003,9.9,0.962,0.976,2017-02-19,9,54,2017,2,19,2017-02-19 09:54:00
2016-08-11,293.26,10.4,0.962,0.49,2016-08-11,10,24,2016,8,11,2016-08-11 10:24:00
2017-10-26,323.44,10.200000000000001,0.966,0.976,2017-10-26,10,12,2017,10,26,2017-10-26 10:12:00
2017-02-22,318.94,9.700000000000001,0.49,0.974,2017-02-22,9,42,2017,2,22,2017-02-22 09:42:00
2016-09-10,302.48,9.600000000000001,0.962,0.974,2016-09-10,9,36,2016,9,10,2016-09-10 09:36:00
2018-11-25,317.7,9.600000000000001,0.966,0.974,2018-11-25,9,36,2018,11,25,2018-11-25 09:36:00
2018-12-25,330.0,9.8,0.966,0.976,2018-12-25,9,48,2018,12,25,2018-12-25 09:48:00
2016-06-20,288.96,10.8,0.962,0.974,2016-06-20,10,48,2016,6,20,2016-06-20 10:48:00
2017-11-22,326.92,10.700000000000001,0.962,0.974,2017-11-22,10,42,2017,11,22,2017-11-22 10:42:00
2018-04-23,307.72,9.700000000000001,0.966,0.974,2018-04-23,9,42,2018,4,23,2018-04-23 09:42:00
2017-08-15,311.1,10.700000000000001,0.962,0.976,2017-08-15,10,42,2017,8,15,2017-08-15 10:42:00
2017-06-30,293.84000000000003,9.600000000000001,0.964,0.974,2017-06-30,9,36,2017,6,30,2017-06-30 09:36:00
2018-05-16,297.24,10.5,0.964,0.972,2018-05-16,10,30,2018,5,16,2018-05-16 10:30:00
2016-01-15,313.18,9.9,0.962,0.974,2016-01-15,9,54,2016,1,15,2016-01-15 09:54:00
2017-07-14,301.34000000000003,9.700000000000001,0.49,0.49,2017-07-14,9,42,2017,7,14,2017-07-14 09:42:00
2017-09-05,308.94,10.200000000000001,0.966,0.974,2017-09-05,10,12,2017,9,5,2017-09-05 10:12:00
2018-11-26,309.0,10.100000000000001,0.966,0.49,2018-11-26,10,6,2018,11,26,2018-11-26 10:06:00
2017-01-30,311.32,11.0,0.49,0.972,2017-01-30,11,0,2017,1,30,2017-01-30 11:00:00
2016-04-16,318.46,10.600000000000001,0.962,0.974,2016-04-16,10,36,2016,4,16,2016-04-16 10:36:00
2017-07-30,305.16,9.9,0.962,0.974,2017-07-30,9,54,2017,7,30,2017-07-30 09:54:00
2017-10-16,322.04,9.600000000000001,0.966,0.974,2017-10-16,9,36,2017,10,16,2017-10-16 09:36:00
2018-12-11,331.3,10.4,0.962,0.976,2018-12-11,10,24,2018,12,11,2018-12-11 10:24:00
2016-06-29,287.40000000000003,10.9,0.968,0.974,2016-06-29,10,54,2016,6,29,2016-06-29 10:54:00
2016-11-07,325.6,10.3,0.962,0.974,2016-11-07,10,18,2016,11,7,2016-11-07 10:18:00
2016-08-14,296.84000000000003,10.8,0.966,0.976,2016-08-14,10,48,2016,8,14,2016-08-14 10:48:00
2017-04-23,316.52,10.3,0.962,0.49,2017-04-23,10,18,2017,4,23,2017-04-23 10:18:00
2018-06-28,297.62,10.100000000000001,0.962,0.974,2018-06-28,10,6,2018,6,28,2018-06-28 10:06:00
2016-03-08,319.46,10.0,0.966,0.972,2016-03-08,10,0,2016,3,8,2016-03-08 10:00:00
2016-10-20,316.96,10.200000000000001,0.962,0.976,2016-10-20,10,12,2016,10,20,2016-10-20 10:12:00
2017-02-20,315.72,10.4,0.962,0.976,2017-02-20,10,24,2017,2,20,2017-02-20 10:24:00
2017-06-13,299.52,9.600000000000001,0.968,0.976,2017-06-13,9,36,2017,6,13,2017-06-13 09:36:00
2018-07-28,296.94,10.5,0.962,0.49,2018-07-28,10,30,2018,7,28,2018-07-28 10:30:00
2016-03-31,314.86,9.9,0.962,0.974,2016-03-31,9,54,2016,3,31,2016-03-31 09:54:00
2017-02-04,322.44,10.4,0.49,0.974,2017-02-04,10,24,2017,2,4,2017-02-04 10:24:00
2018-10-04,317.58,11.0,0.966,0.976,2018-10-04,11,0,2018,10,4,2018-10-04 11:00:00
2018-03-30,320.40000000000003,9.5,0.962,0.976,2018-03-30,9,30,2018,3,30,2018-03-30 09:30:00
2017-10-25,325.74,9.600000000000001,0.962,0.976,2017-10-25,9,36,2017,10,25,2017-10-25 09:36:00
2017-02-06,313.38,10.100000000000001,0.966,0.974,2017-02-06,10,6,2017,2,6,2017-02-06 10:06:00
2018-04-02,316.0,10.600000000000001,0.962,0.972,2018-04-02,10,36,2018,4,2,2018-04-02 10:36:00
2017-03-11,326.2,10.9,0.966,0.974,2017-03-11,10,54,2017,3,11,2017-03-11 10:54:00
2017-10-21,318.84000000000003,10.9,0.964,0.976,2017-10-21,10,54,2017,10,21,2017-10-21 10:54:00
2018-04-11,315.96,10.5,0.49,0.976,2018-04-11,10,30,2018,4,11,2018-04-11 10:30:00
2016-08-18,306.66,10.5,0.962,0.49,2016-08-18,10,30,2016,8,18,2016-08-18 10:30:00
2016-05-14,303.40000000000003,10.0,0.962,0.972,2016-05-14,10,0,2016,5,14,2016-05-14 10:00:00
2017-02-25,323.44,11.0,0.964,0.976,2017-02-25,11,0,2017,2,25,2017-02-25 11:00:00
2016-01-17,320.8,10.4,0.962,0.974,2016-01-17,10,24,2016,1,17,2016-01-17 10:24:00
2018-06-19,287.52,10.8,0.964,0.49,2018-06-19,10,48,2018,6,19,2018-06-19 10:48:00
2016-11-15,319.02,9.700000000000001,0.49,0.974,2016-11-15,9,42,2016,11,15,2016-11-15 09:42:00
2017-12-03,323.26,9.8,0.962,0.972,2017-12-03,9,48,2017,12,3,2017-12-03 09:48:00
2016-09-21,298.1,10.100000000000001,0.968,0.49,2016-09-21,10,6,2016,9,21,2016-09-21 10:06:00
2016-09-03,298.46,9.9,0.962,0.972,2016-09-03,9,54,2016,9,3,2016-09-03 09:54:00
2018-10-01,318.76,10.4,0.968,0.976,2018-10-01,10,24,2018,10,1,2018-10-01 10:24:00
2018-05-26,306.98,10.200000000000001,0.968,0.976,2018-05-26,10,12,2018,5,26,2018-05-26 10:12:00
2018-10-28,317.14,9.8,0.966,0.49,2018-10-28,9,48,2018,10,28,2018-10-28 09:48:00
2018-07-09,297.36,9.9,0.962,0.49,2018-07-09,9,54,2018,7,9,2018-07-09 09:54:00
2017-12-15,318.40000000000003,9.600000000000001,0.968,0.972,2017-12-15,9,36,2017,12,15,2017-12-15 09:36:00
2017-08-07,306.34000000000003,10.5,0.962,0.976,2017-08-07,10,30,2017,8,7,2017-08-07 10:30:00
2016-07-16,292.86,11.0,0.962,0.976,2016-07-16,11,0,2016,7,16,2016-07-16 11:00:00
2017-11-17,324.28000000000003,9.8,0.962,0.976,2017-11-17,9,48,2017,11,17,2017-11-17 09:48:00
2017-05-06,305.40000000000003,9.8,0.966,0.974,2017-05-06,9,48,2017,5,6,2017-05-06 09:48:00
2017-04-09,318.06,10.9,0.966,0.974,2017-04-09,10,54,2017,4,9,2017-04-09 10:54:00
2018-10-17,316.72,9.600000000000001,0.962,0.976,2018-10-17,9,36,2018,10,17,2018-10-17 09:36:00
2017-05-12,310.76,10.9,0.962,0.974,2017-05-12,10,54,2017,5,12,2017-05-12 10:54:00
2016-12-04,315.90000000000003,9.9,0.962,0.974,2016-12-04,9,54,2016,12,4,2016-12-04 09:54:00
2017-04-28,304.72,10.100000000000001,0.962,0.974,2017-04-28,10,6,2017,4,28,2017-04-28 10:06:00
2016-01-26,318.6,11.0,0.968,0.974,2016-01-26,11,0,2016,1,26,2016-01-26 11:00:00
2018-02-25,316.02,10.200000000000001,0.962,0.974,2018-02-25,10,12,2018,2,25,2018-02-25 10:12:00
2017-03-17,321.28000000000003,10.4,0.962,0.976,2017-03-17,10,24,2017,3,17,2017-03-17 10:24:00
2017-02-18,322.5,10.5,0.962,0.976,2017-02-18,10,30,2017,2,18,2017-02-18 10:30:00
2017-08-12,306.72,10.8,0.49,0.974,2017-08-12,10,48,2017,8,12,2017-08-12 10:48:00
2018-11-30,322.94,10.200000000000001,0.966,0.976,2018-11-30,10,12,2018,11,30,2018-11-30 10:12:00
2017-03-01,321.74,10.700000000000001,0.964,0.976,2017-03-01,10,42,2017,3,1,2017-03-01 10:42:00
2016-07-03,299.72,10.9,0.962,0.974,2016-07-03,10,54,2016,7,3,2016-07-03 10:54:00
2017-02-14,325.08,9.600000000000001,0.968,0.976,2017-02-14,9,36,2017,2,14,2017-02-14 09:36:00
2017-11-04,329.56,10.3,0.966,0.976,2017-11-04,10,18,2017,11,4,2017-11-04 10:18:00
2017-07-07,296.7,10.100000000000001,0.962,0.974,2017-07-07,10,6,2017,7,7,2017-07-07 10:06:00
2017-09-24,315.18,10.9,0.962,0.976,2017-09-24,10,54,2017,9,24,2017-09-24 10:54:00
2017-06-15,305.14,10.5,0.49,0.976,2017-06-15,10,30,2017,6,15,2017-06-15 10:30:00
2017-08-20,303.98,9.8,0.49,0.974,2017-08-20,9,48,2017,8,20,2017-08-20 09:48:00
2018-01-05,333.8,10.700000000000001,0.49,0.972,2018-01-05,10,42,2018,1,5,2018-01-05 10:42:00
2016-07-27,296.14,9.5,0.966,0.972,2016-07-27,9,30,2016,7,27,2016-07-27 09:30:00
2018-08-06,292.48,10.8,0.49,0.976,2018-08-06,10,48,2018,8,6,2018-08-06 10:48:00
2016-07-01,297.22,9.700000000000001,0.964,0.974,2016-07-01,9,42,2016,7,1,2016-07-01 09:42:00
2017-01-29,317.5,10.4,0.964,0.976,2017-01-29,10,24,2017,1,29,2017-01-29 10:24:00
2018-05-28,306.82,10.3,0.968,0.974,2018-05-28,10,18,2018,5,28,2018-05-28 10:18:00
2017-07-19,298.44,11.0,0.962,0.974,2017-07-19,11,0,2017,7,19,2017-07-19 11:00:00
2016-03-05,318.44,11.0,0.968,0.976,2016-03-05,11,0,2016,3,5,2016-03-05 11:00:00
2017-10-09,327.92,10.200000000000001,0.964,0.976,2017-10-09,10,12,2017,10,9,2017-10-09 10:12:00
2018-03-14,316.7,10.4,0.964,0.49,2018-03-14,10,24,2018,3,14,2018-03-14 10:24:00
2016-03-13,317.64,9.8,0.962,0.974,2016-03-13,9,48,2016,3,13,2016-03-13 09:48:00
2017-06-01,298.66,10.100000000000001,0.962,0.974,2017-06-01,10,6,2017,6,1,2017-06-01 10:06:00
2016-10-05,309.1,9.600000000000001,0.962,0.976,2016-10-05,9,36,2016,10,5,2016-10-05 09:36:00
2018-12-10,316.24,9.8,0.962,0.974,2018-12-10,9,48,2018,12,10,2018-12-10 09:48:00
2016-05-23,307.0,10.100000000000001,0.968,0.976,2016-05-23,10,6,2016,5,23,2016-05-23 10:06:00
2017-05-17,310.44,10.100000000000001,0.964,0.976,2017-05-17,10,6,2017,5,17,2017-05-17 10:06:00
2017-10-15,318.0,10.200000000000001,0.49,0.974,2017-10-15,10,12,2017,10,15,2017-10-15 10:12:00
2017-08-02,308.88,11.0,0.962,0.974,2017-08-02,11,0,2017,8,2,2017-08-02 11:00:00
2017-09-07,307.12,9.600000000000001,0.962,0.976,2017-09-07,9,36,2017,9,7,2017-09-07 09:36:00
2016-12-05,332.40000000000003,9.9,0.962,0.976,2016-12-05,9,54,2016,12,5,2016-12-05 09:54:00
2017-01-26,315.98,10.700000000000001,0.49,0.976,2017-01-26,10,42,2017,1,26,2017-01-26 10:42:00
2018-03-22,309.82,10.5,0.962,0.976,2018-03-22,10,30,2018,3,22,2018-03-22 10:30:00
2016-08-04,298.92,10.5,0.49,0.976,2016-08-04,10,30,2016,8,4,2016-08-04 10:30:00
2016-05-22,310.14,10.600000000000001,0.962,0.976,2016-05-22,10,36,2016,5,22,2016-05-22 10:36:00
2017-04-11,304.32,10.9,0.962,0.976,2017-04-11,10,54,2017,4,11,2017-04-11 10:54:00
2017-02-15,312.12,10.700000000000001,0.962,0.976,2017-02-15,10,42,2017,2,15,2017-02-15 10:42:00
2017-02-26,321.90000000000003,10.600000000000001,0.962,0.976,2017-02-26,10,36,2017,2,26,2017-02-26 10:36:00
2017-06-12,297.42,11.0,0.962,0.976,2017-06-12,11,0,2017,6,12,2017-06-12 11:00:00
2017-09-08,309.66,9.9,0.962,0.49,2017-09-08,9,54,2017,9,8,2017-09-08 09:54:00
2018-10-15,321.02,11.0,0.966,0.974,2018-10-15,11,0,2018,10,15,2018-10-15 11:00:00
2018-08-17,309.28000000000003,10.600000000000001,0.966,0.972,2018-08-17,10,36,2018,8,17,2018-08-17 10:36:00
2017-03-13,320.5,11.0,0.966,0.976,2017-03-13,11,0,2017,3,13,2017-03-13 11:00:00
2016-09-07,309.28000000000003,10.100000000000001,0.962,0.976,2016-09-07,10,6,2016,9,7,2016-09-07 10:06:00
2018-10-24,326.64,9.8,0.962,0.974,2018-10-24,9,48,2018,10,24,2018-10-24 09:48:00
2016-01-10,321.86,9.600000000000001,0.962,0.976,2016-01-10,9,36,2016,1,10,2016-01-10 09:36:00
2016-12-14,328.56,9.5,0.966,0.49,2016-12-14,9,30,2016,12,14,2016-12-14 09:30:00
2018-08-28,310.04,10.8,0.962,0.976,2018-08-28,10,48,2018,8,28,2018-08-28 10:48:00
2017-02-10,315.7,10.3,0.964,0.49,2017-02-10,10,18,2017,2,10,2017-02-10 10:18:00
2017-10-19,328.12,10.100000000000001,0.962,0.974,2017-10-19,10,6,2017,10,19,2017-10-19 10:06:00
2017-03-02,327.14,9.600000000000001,0.962,0.972,2017-03-02,9,36,2017,3,2,2017-03-02 09:36:00
2018-01-25,329.46,9.5,0.49,0.972,2018-01-25,9,30,2018,1,25,2018-01-25 09:30:00
2017-10-22,308.88,11.0,0.962,0.974,2017-10-22,11,0,2017,10,22,2017-10-22 11:00:00
2018-01-15,313.46,10.700000000000001,0.966,0.974,2018-01-15,10,42,2018,1,15,2018-01-15 10:42:00
