strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2009-04-14,306.72,10.0,0.982,0.49,2009-04-14,10,0,2009,4,14,2009-04-14 10:00:00
2007-08-31,314.84000000000003,10.3,0.49,0.988,2007-08-31,10,18,2007,8,31,2007-08-31 10:18:00
2008-08-10,312.3,9.9,0.982,0.49,2008-08-10,9,54,2008,8,10,2008-08-10 09:54:00
2009-08-05,306.56,10.600000000000001,0.984,0.49,2009-08-05,10,36,2009,8,5,2009-08-05 10:36:00
2008-07-02,310.6,10.9,0.49,0.986,2008-07-02,10,54,2008,7,2,2008-07-02 10:54:00
2009-09-03,316.36,10.600000000000001,0.49,0.49,2009-09-03,10,36,2009,9,3,2009-09-03 10:36:00
2009-12-19,307.42,10.600000000000001,0.49,0.988,2009-12-19,10,36,2009,12,19,2009-12-19 10:36:00
2007-06-12,303.48,10.4,0.49,0.988,2007-06-12,10,24,2007,6,12,2007-06-12 10:24:00
2009-11-26,318.92,10.100000000000001,0.49,0.986,2009-11-26,10,6,2009,11,26,2009-11-26 10:06:00
2008-07-18,311.62,9.8,0.49,0.986,2008-07-18,9,48,2008,7,18,2008-07-18 09:48:00
2008-07-05,308.90000000000003,10.100000000000001,0.49,0.986,2008-07-05,10,6,2008,7,5,2008-07-05 10:06:00
2007-04-08,304.64,10.4,0.984,0.986,2007-04-08,10,24,2007,4,8,2007-04-08 10:24:00
2008-07-21,308.18,10.0,0.49,0.49,2008-07-21,10,0,2008,7,21,2008-07-21 10:00:00
2007-08-06,309.46,9.700000000000001,0.984,0.49,2007-08-06,9,42,2007,8,6,2007-08-06 09:42:00
2007-09-17,309.44,10.5,0.49,0.49,2007-09-17,10,30,2007,9,17,2007-09-17 10:30:00
2009-09-26,312.08,9.700000000000001,0.984,0.988,2009-09-26,9,42,2009,9,26,2009-09-26 09:42:00
2009-07-24,311.06,11.0,0.984,0.986,2009-07-24,11,0,2009,7,24,2009-07-24 11:00:00
2009-04-05,308.08,9.700000000000001,0.982,0.988,2009-04-05,9,42,2009,4,5,2009-04-05 09:42:00
2007-08-10,311.02,9.9,0.982,0.986,2007-08-10,9,54,2007,8,10,2007-08-10 09:54:00
2007-05-06,311.0,10.600000000000001,0.984,0.986,2007-05-06,10,36,2007,5,6,2007-05-06 10:36:00
2009-06-13,307.36,9.8,0.984,0.986,2009-06-13,9,48,2009,6,13,2009-06-13 09:48:00
2007-09-13,315.3,10.8,0.49,0.986,2007-09-13,10,48,2007,9,13,2007-09-13 10:48:00
2007-08-26,314.76,10.700000000000001,0.984,0.49,2007-08-26,10,42,2007,8,26,2007-08-26 10:42:00
2009-09-25,317.18,10.9,0.49,0.986,2009-09-25,10,54,2009,9,25,2009-09-25 10:54:00
2008-06-18,310.04,10.8,0.984,0.49,2008-06-18,10,48,2008,6,18,2008-06-18 10:48:00
2009-07-03,311.90000000000003,10.0,0.982,0.49,2009-07-03,10,0,2009,7,3,2009-07-03 10:00:00
2008-06-07,309.74,9.9,0.49,0.986,2008-06-07,9,54,2008,6,7,2008-06-07 09:54:00
2009-05-27,310.06,11.0,0.984,0.49,2009-05-27,11,0,2009,5,27,2009-05-27 11:00:00
2008-05-03,307.76,10.3,0.984,0.986,2008-05-03,10,18,2008,5,3,2008-05-03 10:18:00
2007-11-26,311.06,10.8,0.49,0.49,2007-11-26,10,48,2007,11,26,2007-11-26 10:48:00
2008-09-07,314.32,10.4,0.49,0.49,2008-09-07,10,24,2008,9,7,2008-09-07 10:24:00
2007-07-04,299.58,10.8,0.984,0.986,2007-07-04,10,48,2007,7,4,2007-07-04 10:48:00
2008-01-06,303.48,9.8,0.982,0.986,2008-01-06,9,48,2008,1,6,2008-01-06 09:48:00
2008-08-03,312.88,10.4,0.49,0.49,2008-08-03,10,24,2008,8,3,2008-08-03 10:24:00
2007-07-19,306.04,10.100000000000001,0.49,0.49,2007-07-19,10,6,2007,7,19,2007-07-19 10:06:00
2009-10-19,316.56,10.5,0.49,0.986,2009-10-19,10,30,2009,10,19,2009-10-19 10:30:00
2009-05-22,309.24,10.5,0.49,0.986,2009-05-22,10,30,2009,5,22,2009-05-22 10:30:00
2009-10-16,317.58,10.200000000000001,0.982,0.49,2009-10-16,10,12,2009,10,16,2009-10-16 10:12:00
2007-05-15,306.48,10.8,0.49,0.49,2007-05-15,10,48,2007,5,15,2007-05-15 10:48:00
2007-08-13,308.78000000000003,10.700000000000001,0.49,0.49,2007-08-13,10,42,2007,8,13,2007-08-13 10:42:00
2008-04-02,306.46,10.0,0.984,0.49,2008-04-02,10,0,2008,4,2,2008-04-02 10:00:00
2009-07-19,309.86,10.3,0.49,0.986,2009-07-19,10,18,2009,7,19,2009-07-19 10:18:00
2008-06-03,309.62,10.8,0.49,0.988,2008-06-03,10,48,2008,6,3,2008-06-03 10:48:00
2008-08-30,312.96,9.9,0.984,0.49,2008-08-30,9,54,2008,8,30,2008-08-30 09:54:00
2009-10-09,315.64,10.9,0.49,0.986,2009-10-09,10,54,2009,10,9,2009-10-09 10:54:00
2009-08-11,314.28000000000003,10.4,0.49,0.49,2009-08-11,10,24,2009,8,11,2009-08-11 10:24:00
2007-08-30,310.18,10.5,0.49,0.986,2007-08-30,10,30,2007,8,30,2007-08-30 10:30:00
2009-10-18,320.22,10.0,0.982,0.49,2009-10-18,10,0,2009,10,18,2009-10-18 10:00:00
2009-08-22,313.94,11.0,0.984,0.49,2009-08-22,11,0,2009,8,22,2009-08-22 11:00:00
2008-10-10,316.88,9.700000000000001,0.982,0.986,2008-10-10,9,42,2008,10,10,2008-10-10 09:42:00
2008-10-02,315.26,10.5,0.49,0.988,2008-10-02,10,30,2008,10,2,2008-10-02 10:30:00
2008-10-13,316.52,10.100000000000001,0.982,0.986,2008-10-13,10,6,2008,10,13,2008-10-13 10:06:00
2009-10-29,316.34000000000003,10.3,0.49,0.986,2009-10-29,10,18,2009,10,29,2009-10-29 10:18:00
2009-04-29,307.2,10.3,0.984,0.49,2009-04-29,10,18,2009,4,29,2009-04-29 10:18:00
2008-05-31,308.32,9.8,0.982,0.49,2008-05-31,9,48,2008,5,31,2008-05-31 09:48:00
2009-06-21,306.76,10.700000000000001,0.49,0.988,2009-06-21,10,42,2009,6,21,2009-06-21 10:42:00
2008-07-06,306.34000000000003,10.600000000000001,0.49,0.986,2008-07-06,10,36,2008,7,6,2008-07-06 10:36:00
2009-06-03,310.78000000000003,10.200000000000001,0.982,0.49,2009-06-03,10,12,2009,6,3,2009-06-03 10:12:00
2009-10-20,312.98,9.8,0.984,0.986,2009-10-20,9,48,2009,10,20,2009-10-20 09:48:00
2007-08-08,311.24,10.8,0.984,0.49,2007-08-08,10,48,2007,8,8,2007-08-08 10:48:00
2008-09-13,314.1,10.4,0.984,0.986,2008-09-13,10,24,2008,9,13,2008-09-13 10:24:00
2008-09-03,307.76,10.5,0.984,0.49,2008-09-03,10,30,2008,9,3,2008-09-03 10:30:00
2008-11-02,314.48,10.100000000000001,0.982,0.986,2008-11-02,10,6,2008,11,2,2008-11-02 10:06:00
2008-06-19,308.58,11.0,0.982,0.49,2008-06-19,11,0,2008,6,19,2008-06-19 11:00:00
2009-04-23,308.92,9.700000000000001,0.984,0.988,2009-04-23,9,42,2009,4,23,2009-04-23 09:42:00
2009-08-04,311.14,10.9,0.49,0.986,2009-08-04,10,54,2009,8,4,2009-08-04 10:54:00
2007-09-14,315.02,11.0,0.982,0.988,2007-09-14,11,0,2007,9,14,2007-09-14 11:00:00
2009-03-28,301.72,9.9,0.49,0.988,2009-03-28,9,54,2009,3,28,2009-03-28 09:54:00
2008-07-27,310.64,10.3,0.984,0.986,2008-07-27,10,18,2008,7,27,2008-07-27 10:18:00
2008-08-07,308.42,11.0,0.49,0.988,2008-08-07,11,0,2008,8,7,2008-08-07 11:00:00
2009-09-29,315.84000000000003,10.4,0.984,0.49,2009-09-29,10,24,2009,9,29,2009-09-29 10:24:00
2008-10-09,307.46,10.3,0.49,0.986,2008-10-09,10,18,2008,10,9,2008-10-09 10:18:00
2009-10-23,320.36,11.0,0.984,0.986,2009-10-23,11,0,2009,10,23,2009-10-23 11:00:00
2009-03-11,305.08,10.8,0.49,0.988,2009-03-11,10,48,2009,3,11,2009-03-11 10:48:00
2008-07-15,307.52,11.0,0.49,0.49,2008-07-15,11,0,2008,7,15,2008-07-15 11:00:00
2008-08-15,312.3,11.0,0.984,0.49,2008-08-15,11,0,2008,8,15,2008-08-15 11:00:00
2009-06-06,309.0,11.0,0.984,0.49,2009-06-06,11,0,2009,6,6,2009-06-06 11:00:00
2007-11-23,309.36,10.3,0.984,0.49,2007-11-23,10,18,2007,11,23,2007-11-23 10:18:00
2008-04-18,307.94,10.600000000000001,0.984,0.49,2008-04-18,10,36,2008,4,18,2008-04-18 10:36:00
2007-04-11,306.76,10.100000000000001,0.982,0.49,2007-04-11,10,6,2007,4,11,2007-04-11 10:06:00
2009-07-30,310.5,9.9,0.984,0.986,2009-07-30,9,54,2009,7,30,2009-07-30 09:54:00
2007-10-07,311.7,9.9,0.984,0.986,2007-10-07,9,54,2007,10,7,2007-10-07 09:54:00
2007-02-08,308.1,10.3,0.49,0.988,2007-02-08,10,18,2007,2,8,2007-02-08 10:18:00
2009-08-24,315.0,10.3,0.984,0.49,2009-08-24,10,18,2009,8,24,2009-08-24 10:18:00
2009-08-13,313.5,9.9,0.49,0.986,2009-08-13,9,54,2009,8,13,2009-08-13 09:54:00
2008-04-22,308.76,10.600000000000001,0.49,0.49,2008-04-22,10,36,2008,4,22,2008-04-22 10:36:00
2008-09-14,311.90000000000003,10.200000000000001,0.982,0.49,2008-09-14,10,12,2008,9,14,2008-09-14 10:12:00
2008-08-23,307.44,10.200000000000001,0.982,0.49,2008-08-23,10,12,2008,8,23,2008-08-23 10:12:00
2008-07-09,306.12,10.600000000000001,0.49,0.49,2008-07-09,10,36,2008,7,9,2008-07-09 10:36:00
2009-07-09,304.06,10.4,0.49,0.49,2009-07-09,10,24,2009,7,9,2009-07-09 10:24:00
2008-04-29,308.24,10.8,0.49,0.49,2008-04-29,10,48,2008,4,29,2008-04-29 10:48:00
2007-03-31,299.76,10.9,0.982,0.49,2007-03-31,10,54,2007,3,31,2007-03-31 10:54:00
2008-05-13,308.74,10.200000000000001,0.984,0.988,2008-05-13,10,12,2008,5,13,2008-05-13 10:12:00
2008-05-25,308.88,10.200000000000001,0.49,0.988,2008-05-25,10,12,2008,5,25,2008-05-25 10:12:00
2007-08-28,313.98,11.0,0.984,0.986,2007-08-28,11,0,2007,8,28,2007-08-28 11:00:00
2009-10-07,313.54,10.200000000000001,0.49,0.49,2009-10-07,10,12,2009,10,7,2009-10-07 10:12:00
2009-05-16,311.0,10.100000000000001,0.49,0.986,2009-05-16,10,6,2009,5,16,2009-05-16 10:06:00
2009-03-22,309.3,9.8,0.984,0.49,2009-03-22,9,48,2009,3,22,2009-03-22 09:48:00
2007-09-07,316.28000000000003,10.600000000000001,0.984,0.49,2007-09-07,10,36,2007,9,7,2007-09-07 10:36:00
2008-09-06,316.18,9.8,0.49,0.49,2008-09-06,9,48,2008,9,6,2008-09-06 09:48:00
