strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2018-09-13,310.7,10.4,0.49,0.49,2018-09-13,10,24,2018,9,13,2018-09-13 10:24:00
2018-04-20,308.7,10.100000000000001,0.982,0.49,2018-04-20,10,6,2018,4,20,2018-04-20 10:06:00
2017-01-28,305.54,10.8,0.982,0.988,2017-01-28,10,48,2017,1,28,2017-01-28 10:48:00
2016-09-08,313.98,10.3,0.984,0.988,2016-09-08,10,18,2016,9,8,2016-09-08 10:18:00
2018-08-11,308.68,10.200000000000001,0.984,0.986,2018-08-11,10,12,2018,8,11,2018-08-11 10:12:00
2018-09-09,314.56,10.200000000000001,0.49,0.49,2018-09-09,10,12,2018,9,9,2018-09-09 10:12:00
2018-04-25,309.8,10.700000000000001,0.49,0.49,2018-04-25,10,42,2018,4,25,2018-04-25 10:42:00
2017-02-22,308.68,10.700000000000001,0.984,0.988,2017-02-22,10,42,2017,2,22,2017-02-22 10:42:00
2016-09-10,315.98,10.700000000000001,0.984,0.986,2016-09-10,10,42,2016,9,10,2016-09-10 10:42:00
2018-12-25,306.54,10.9,0.982,0.49,2018-12-25,10,54,2018,12,25,2018-12-25 10:54:00
2018-06-16,303.98,10.0,0.982,0.986,2018-06-16,10,0,2018,6,16,2018-06-16 10:00:00
2017-08-15,308.26,10.100000000000001,0.49,0.986,2017-08-15,10,6,2017,8,15,2017-08-15 10:06:00
2018-12-02,310.0,10.3,0.984,0.49,2018-12-02,10,18,2018,12,2,2018-12-02 10:18:00
2017-06-30,302.54,10.700000000000001,0.984,0.986,2017-06-30,10,42,2017,6,30,2017-06-30 10:42:00
2018-10-11,318.68,10.5,0.982,0.986,2018-10-11,10,30,2018,10,11,2018-10-11 10:30:00
2018-05-16,303.02,9.9,0.49,0.49,2018-05-16,9,54,2018,5,16,2018-05-16 09:54:00
2016-04-16,307.12,10.0,0.984,0.49,2016-04-16,10,0,2016,4,16,2016-04-16 10:00:00
2016-11-20,308.56,9.9,0.984,0.986,2016-11-20,9,54,2016,11,20,2016-11-20 09:54:00
2016-06-29,304.96,10.4,0.49,0.988,2016-06-29,10,24,2016,6,29,2016-06-29 10:24:00
2016-11-07,306.64,9.700000000000001,0.49,0.49,2016-11-07,9,42,2016,11,7,2016-11-07 09:42:00
2016-08-14,310.36,10.200000000000001,0.982,0.986,2016-08-14,10,12,2016,8,14,2016-08-14 10:12:00
2018-05-04,309.16,10.0,0.984,0.986,2018-05-04,10,0,2018,5,4,2018-05-04 10:00:00
2017-06-13,299.84000000000003,10.700000000000001,0.982,0.988,2017-06-13,10,42,2017,6,13,2017-06-13 10:42:00
