strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2018-09-13,312.98,10.5,0.49,0.986,2018-09-13,10,30,2018,9,13,2018-09-13 10:30:00
2018-04-20,310.02,10.100000000000001,0.984,0.986,2018-04-20,10,6,2018,4,20,2018-04-20 10:06:00
2016-09-08,315.6,10.4,0.982,0.986,2016-09-08,10,24,2016,9,8,2016-09-08 10:24:00
2018-08-11,309.5,10.200000000000001,0.984,0.49,2018-08-11,10,12,2018,8,11,2018-08-11 10:12:00
2018-03-13,305.06,10.5,0.982,0.49,2018-03-13,10,30,2018,3,13,2018-03-13 10:30:00
2018-09-09,315.66,10.200000000000001,0.984,0.49,2018-09-09,10,12,2018,9,9,2018-09-09 10:12:00
2016-03-02,313.08,9.700000000000001,0.982,0.986,2016-03-02,9,42,2016,3,2,2016-03-02 09:42:00
2018-04-25,310.06,10.700000000000001,0.49,0.49,2018-04-25,10,42,2018,4,25,2018-04-25 10:42:00
2016-09-10,317.58,10.700000000000001,0.49,0.986,2016-09-10,10,42,2016,9,10,2016-09-10 10:42:00
2018-11-25,311.44,10.700000000000001,0.982,0.986,2018-11-25,10,42,2018,11,25,2018-11-25 10:42:00
2018-06-16,303.66,10.0,0.982,0.986,2018-06-16,10,0,2018,6,16,2018-06-16 10:00:00
2016-06-20,304.62,10.3,0.984,0.986,2016-06-20,10,18,2016,6,20,2016-06-20 10:18:00
2017-08-15,308.6,10.200000000000001,0.49,0.986,2017-08-15,10,12,2017,8,15,2017-08-15 10:12:00
2017-06-30,300.74,10.700000000000001,0.982,0.986,2017-06-30,10,42,2017,6,30,2017-06-30 10:42:00
2018-10-11,314.36,10.600000000000001,0.984,0.986,2018-10-11,10,36,2018,10,11,2018-10-11 10:36:00
2018-05-16,302.34000000000003,10.0,0.49,0.49,2018-05-16,10,0,2018,5,16,2018-05-16 10:00:00
2016-04-16,308.96,10.100000000000001,0.982,0.986,2016-04-16,10,6,2016,4,16,2016-04-16 10:06:00
2017-07-30,304.5,11.0,0.984,0.49,2017-07-30,11,0,2017,7,30,2017-07-30 11:00:00
2016-11-20,318.94,10.0,0.984,0.49,2016-11-20,10,0,2016,11,20,2016-11-20 10:00:00
2018-12-11,309.92,9.9,0.49,0.986,2018-12-11,9,54,2018,12,11,2018-12-11 09:54:00
2016-06-29,305.46,10.4,0.49,0.988,2016-06-29,10,24,2016,6,29,2016-06-29 10:24:00
2016-08-14,309.22,10.3,0.982,0.988,2016-08-14,10,18,2016,8,14,2016-08-14 10:18:00
2018-05-04,309.42,10.0,0.984,0.988,2018-05-04,10,0,2018,5,4,2018-05-04 10:00:00
2017-06-13,300.64,10.700000000000001,0.984,0.986,2017-06-13,10,42,2017,6,13,2017-06-13 10:42:00
2018-07-28,305.32,10.0,0.49,0.986,2018-07-28,10,0,2018,7,28,2018-07-28 10:00:00
2018-10-02,318.2,10.8,0.984,0.986,2018-10-02,10,48,2018,10,2,2018-10-02 10:48:00
2018-10-04,320.0,10.5,0.49,0.986,2018-10-04,10,30,2018,10,4,2018-10-04 10:30:00
2018-07-30,304.92,9.9,0.984,0.49,2018-07-30,9,54,2018,7,30,2018-07-30 09:54:00
2018-04-02,310.66,10.100000000000001,0.982,0.49,2018-04-02,10,6,2018,4,2,2018-04-02 10:06:00
2017-10-21,312.6,10.4,0.982,0.988,2017-10-21,10,24,2017,10,21,2017-10-21 10:24:00
2018-04-11,309.64,10.0,0.982,0.988,2018-04-11,10,0,2018,4,11,2018-04-11 10:00:00
2018-06-30,305.02,10.200000000000001,0.49,0.986,2018-06-30,10,12,2018,6,30,2018-06-30 10:12:00
2018-06-19,302.66,10.3,0.49,0.986,2018-06-19,10,18,2018,6,19,2018-06-19 10:18:00
2016-11-15,321.48,10.8,0.49,0.988,2016-11-15,10,48,2016,11,15,2016-11-15 10:48:00
2016-09-03,303.7,11.0,0.984,0.986,2016-09-03,11,0,2016,9,3,2016-09-03 11:00:00
2018-05-26,302.0,9.700000000000001,0.49,0.49,2018-05-26,9,42,2018,5,26,2018-05-26 09:42:00
2018-07-18,304.88,10.5,0.49,0.988,2018-07-18,10,30,2018,7,18,2018-07-18 10:30:00
2018-07-09,303.3,11.0,0.982,0.49,2018-07-09,11,0,2018,7,9,2018-07-09 11:00:00
2018-12-23,308.08,10.600000000000001,0.984,0.986,2018-12-23,10,36,2018,12,23,2018-12-23 10:36:00
2017-08-07,308.38,10.0,0.982,0.49,2017-08-07,10,0,2017,8,7,2017-08-07 10:00:00
2017-06-16,304.98,10.5,0.984,0.986,2017-06-16,10,30,2017,6,16,2017-06-16 10:30:00
2016-07-16,295.2,10.5,0.982,0.988,2016-07-16,10,30,2016,7,16,2016-07-16 10:30:00
2018-06-02,303.02,10.4,0.982,0.49,2018-06-02,10,24,2018,6,2,2018-06-02 10:24:00
2017-05-12,306.28000000000003,10.4,0.49,0.988,2017-05-12,10,24,2017,5,12,2017-05-12 10:24:00
2017-09-16,311.86,10.9,0.49,0.986,2017-09-16,10,54,2017,9,16,2017-09-16 10:54:00
2016-07-12,305.94,10.5,0.49,0.49,2016-07-12,10,30,2016,7,12,2016-07-12 10:30:00
2017-08-12,309.04,10.3,0.49,0.986,2017-08-12,10,18,2017,8,12,2017-08-12 10:18:00
2016-07-03,303.72,10.4,0.982,0.988,2016-07-03,10,24,2016,7,3,2016-07-03 10:24:00
2017-11-04,318.38,9.8,0.982,0.986,2017-11-04,9,48,2017,11,4,2017-11-04 09:48:00
2017-08-20,305.40000000000003,10.9,0.982,0.49,2017-08-20,10,54,2017,8,20,2017-08-20 10:54:00
2018-01-05,316.2,10.200000000000001,0.49,0.986,2018-01-05,10,12,2018,1,5,2018-01-05 10:12:00
2016-07-27,305.64,10.600000000000001,0.49,0.986,2016-07-27,10,36,2016,7,27,2016-07-27 10:36:00
2018-10-25,320.22,10.700000000000001,0.49,0.986,2018-10-25,10,42,2018,10,25,2018-10-25 10:42:00
2018-08-06,308.48,10.3,0.984,0.986,2018-08-06,10,18,2018,8,6,2018-08-06 10:18:00
2016-07-01,306.36,10.8,0.982,0.986,2016-07-01,10,48,2016,7,1,2016-07-01 10:48:00
2017-07-19,301.58,10.5,0.49,0.986,2017-07-19,10,30,2017,7,19,2017-07-19 10:30:00
2018-03-14,306.44,9.9,0.984,0.49,2018-03-14,9,54,2018,3,14,2018-03-14 09:54:00
2016-01-02,312.38,10.4,0.49,0.49,2016-01-02,10,24,2016,1,2,2016-01-02 10:24:00
2016-10-05,318.48,10.700000000000001,0.49,0.49,2016-10-05,10,42,2016,10,5,2016-10-05 10:42:00
2016-05-07,305.38,10.3,0.984,0.49,2016-05-07,10,18,2016,5,7,2016-05-07 10:18:00
2016-05-30,305.26,10.8,0.984,0.986,2016-05-30,10,48,2016,5,30,2016-05-30 10:48:00
2016-08-04,302.28000000000003,10.0,0.982,0.49,2016-08-04,10,0,2016,8,4,2016-08-04 10:00:00
2017-03-24,305.98,10.200000000000001,0.982,0.986,2017-03-24,10,12,2017,3,24,2017-03-24 10:12:00
2017-02-26,305.38,10.100000000000001,0.984,0.49,2017-02-26,10,6,2017,2,26,2017-02-26 10:06:00
2017-06-12,298.36,10.5,0.984,0.988,2017-06-12,10,30,2017,6,12,2017-06-12 10:30:00
2017-09-08,310.1,11.0,0.984,0.986,2017-09-08,11,0,2017,9,8,2017-09-08 11:00:00
2018-10-15,312.56,10.5,0.984,0.49,2018-10-15,10,30,2018,10,15,2018-10-15 10:30:00
2016-01-10,308.04,10.700000000000001,0.982,0.986,2016-01-10,10,42,2016,1,10,2016-01-10 10:42:00
2018-08-28,309.16,10.3,0.984,0.988,2018-08-28,10,18,2018,8,28,2018-08-28 10:18:00
2017-12-04,309.66,10.700000000000001,0.984,0.49,2017-12-04,10,42,2017,12,4,2017-12-04 10:42:00
2016-06-14,301.5,10.100000000000001,0.984,0.988,2016-06-14,10,6,2016,6,14,2016-06-14 10:06:00
2017-03-02,308.36,10.700000000000001,0.984,0.986,2017-03-02,10,42,2017,3,2,2017-03-02 10:42:00
2017-10-22,321.28000000000003,10.5,0.984,0.988,2017-10-22,10,30,2017,10,22,2017-10-22 10:30:00
2017-05-10,307.42,10.3,0.49,0.986,2017-05-10,10,18,2017,5,10,2017-05-10 10:18:00
2017-06-09,301.88,9.700000000000001,0.49,0.988,2017-06-09,9,42,2017,6,9,2017-06-09 09:42:00
2018-04-05,308.72,10.3,0.49,0.986,2018-04-05,10,18,2018,4,5,2018-04-05 10:18:00
2017-09-09,310.0,10.4,0.49,0.986,2017-09-09,10,24,2017,9,9,2017-09-09 10:24:00
2017-07-15,305.18,10.5,0.49,0.986,2017-07-15,10,30,2017,7,15,2017-07-15 10:30:00
2017-12-07,316.46,10.3,0.49,0.986,2017-12-07,10,18,2017,12,7,2017-12-07 10:18:00
2016-11-10,315.74,9.8,0.49,0.49,2016-11-10,9,48,2016,11,10,2016-11-10 09:48:00
2018-06-09,303.3,10.0,0.982,0.49,2018-06-09,10,0,2018,6,9,2018-06-09 10:00:00
2016-10-30,322.64,10.9,0.49,0.49,2016-10-30,10,54,2016,10,30,2016-10-30 10:54:00
2018-03-26,310.1,9.9,0.49,0.988,2018-03-26,9,54,2018,3,26,2018-03-26 09:54:00
2016-12-12,318.04,10.4,0.49,0.988,2016-12-12,10,24,2016,12,12,2016-12-12 10:24:00
2017-08-11,305.48,10.100000000000001,0.982,0.986,2017-08-11,10,6,2017,8,11,2017-08-11 10:06:00
2018-07-01,303.3,10.4,0.49,0.49,2018-07-01,10,24,2018,7,1,2018-07-01 10:24:00
2016-08-16,312.06,10.3,0.982,0.49,2016-08-16,10,18,2016,8,16,2016-08-16 10:18:00
2018-07-19,306.62,10.200000000000001,0.984,0.986,2018-07-19,10,12,2018,7,19,2018-07-19 10:12:00
2017-09-22,318.32,11.0,0.982,0.986,2017-09-22,11,0,2017,9,22,2017-09-22 11:00:00
2016-11-08,323.32,10.600000000000001,0.984,0.986,2016-11-08,10,36,2016,11,8,2016-11-08 10:36:00
2017-09-12,310.28000000000003,11.0,0.984,0.49,2017-09-12,11,0,2017,9,12,2017-09-12 11:00:00
2018-05-15,303.08,10.600000000000001,0.982,0.49,2018-05-15,10,36,2018,5,15,2018-05-15 10:36:00
2016-08-02,307.98,10.9,0.982,0.986,2016-08-02,10,54,2016,8,2,2016-08-02 10:54:00
2017-11-11,320.88,10.100000000000001,0.984,0.49,2017-11-11,10,6,2017,11,11,2017-11-11 10:06:00
2018-12-21,306.2,10.600000000000001,0.49,0.986,2018-12-21,10,36,2018,12,21,2018-12-21 10:36:00
2017-06-28,301.76,10.3,0.982,0.986,2017-06-28,10,18,2017,6,28,2017-06-28 10:18:00
2018-11-02,314.62,9.8,0.49,0.986,2018-11-02,9,48,2018,11,2,2018-11-02 09:48:00
2016-04-11,301.44,10.5,0.982,0.986,2016-04-11,10,30,2016,4,11,2016-04-11 10:30:00
2018-05-03,303.02,10.3,0.984,0.988,2018-05-03,10,18,2018,5,3,2018-05-03 10:18:00
2016-05-13,301.5,10.100000000000001,0.49,0.988,2016-05-13,10,6,2016,5,13,2016-05-13 10:06:00
2017-08-16,310.5,10.200000000000001,0.982,0.49,2017-08-16,10,12,2017,8,16,2017-08-16 10:12:00
2018-10-05,312.46,10.700000000000001,0.982,0.986,2018-10-05,10,42,2018,10,5,2018-10-05 10:42:00
2016-03-23,307.54,9.9,0.49,0.49,2016-03-23,9,54,2016,3,23,2016-03-23 09:54:00
2016-05-24,304.2,10.200000000000001,0.982,0.986,2016-05-24,10,12,2016,5,24,2016-05-24 10:12:00
2016-07-19,305.02,10.200000000000001,0.984,0.49,2016-07-19,10,12,2016,7,19,2016-07-19 10:12:00
2018-04-16,310.78000000000003,10.9,0.982,0.49,2018-04-16,10,54,2018,4,16,2018-04-16 10:54:00
2017-08-24,311.04,10.8,0.984,0.49,2017-08-24,10,48,2017,8,24,2017-08-24 10:48:00
2016-07-22,309.62,10.3,0.49,0.49,2016-07-22,10,18,2016,7,22,2016-07-22 10:18:00
2016-11-12,308.58,10.200000000000001,0.984,0.49,2016-11-12,10,12,2016,11,12,2016-11-12 10:12:00
2016-12-01,322.84000000000003,9.9,0.984,0.986,2016-12-01,9,54,2016,12,1,2016-12-01 09:54:00
2018-03-06,304.24,9.700000000000001,0.49,0.49,2018-03-06,9,42,2018,3,6,2018-03-06 09:42:00
2016-08-17,306.34000000000003,10.700000000000001,0.49,0.986,2016-08-17,10,42,2016,8,17,2016-08-17 10:42:00
2018-08-20,306.32,9.700000000000001,0.984,0.49,2018-08-20,9,42,2018,8,20,2018-08-20 09:42:00
2018-08-05,305.96,10.3,0.984,0.988,2018-08-05,10,18,2018,8,5,2018-08-05 10:18:00
2016-10-15,317.32,11.0,0.984,0.988,2016-10-15,11,0,2016,10,15,2016-10-15 11:00:00
2017-11-06,314.48,10.4,0.984,0.49,2017-11-06,10,24,2017,11,6,2017-11-06 10:24:00
2016-04-14,311.92,9.8,0.49,0.988,2016-04-14,9,48,2016,4,14,2016-04-14 09:48:00
2018-08-30,306.88,10.0,0.49,0.986,2018-08-30,10,0,2018,8,30,2018-08-30 10:00:00
2018-08-19,310.28000000000003,10.5,0.984,0.988,2018-08-19,10,30,2018,8,19,2018-08-19 10:30:00
2018-09-18,317.44,9.8,0.49,0.49,2018-09-18,9,48,2018,9,18,2018-09-18 09:48:00
2018-06-14,304.96,10.3,0.984,0.986,2018-06-14,10,18,2018,6,14,2018-06-14 10:18:00
2017-12-06,320.04,11.0,0.984,0.49,2017-12-06,11,0,2017,12,6,2017-12-06 11:00:00
2017-07-29,306.96,10.4,0.982,0.49,2017-07-29,10,24,2017,7,29,2017-07-29 10:24:00
2018-10-08,317.34000000000003,10.8,0.49,0.986,2018-10-08,10,48,2018,10,8,2018-10-08 10:48:00
2017-05-01,308.26,9.8,0.49,0.986,2017-05-01,9,48,2017,5,1,2017-05-01 09:48:00
2018-11-03,311.0,10.3,0.984,0.49,2018-11-03,10,18,2018,11,3,2018-11-03 10:18:00
2017-09-01,309.7,10.5,0.982,0.49,2017-09-01,10,30,2017,9,1,2017-09-01 10:30:00
2017-07-18,307.62,10.9,0.49,0.49,2017-07-18,10,54,2017,7,18,2017-07-18 10:54:00
2017-05-08,308.92,10.4,0.984,0.49,2017-05-08,10,24,2017,5,8,2017-05-08 10:24:00
2018-08-04,304.82,11.0,0.49,0.986,2018-08-04,11,0,2018,8,4,2018-08-04 11:00:00
2016-12-15,318.12,10.5,0.984,0.986,2016-12-15,10,30,2016,12,15,2016-12-15 10:30:00
2016-04-08,307.66,9.8,0.984,0.986,2016-04-08,9,48,2016,4,8,2016-04-08 09:48:00
2017-05-22,307.22,10.3,0.49,0.986,2017-05-22,10,18,2017,5,22,2017-05-22 10:18:00
2016-09-05,312.46,10.3,0.984,0.986,2016-09-05,10,18,2016,9,5,2016-09-05 10:18:00
2018-06-08,303.48,9.700000000000001,0.982,0.49,2018-06-08,9,42,2018,6,8,2018-06-08 09:42:00
2016-08-28,309.42,10.200000000000001,0.49,0.49,2016-08-28,10,12,2016,8,28,2016-08-28 10:12:00
2018-05-22,303.82,11.0,0.49,0.988,2018-05-22,11,0,2018,5,22,2018-05-22 11:00:00
2017-03-03,308.46,10.100000000000001,0.984,0.986,2017-03-03,10,6,2017,3,3,2017-03-03 10:06:00
2018-03-28,307.44,10.700000000000001,0.49,0.49,2018-03-28,10,42,2018,3,28,2018-03-28 10:42:00
2016-09-15,313.28000000000003,9.9,0.982,0.49,2016-09-15,9,54,2016,9,15,2016-09-15 09:54:00
2018-05-31,304.44,9.9,0.984,0.49,2018-05-31,9,54,2018,5,31,2018-05-31 09:54:00
2016-05-20,304.8,10.100000000000001,0.984,0.49,2016-05-20,10,6,2016,5,20,2016-05-20 10:06:00
2016-10-07,319.3,11.0,0.49,0.49,2016-10-07,11,0,2016,10,7,2016-10-07 11:00:00
2016-07-17,302.74,9.9,0.49,0.988,2016-07-17,9,54,2016,7,17,2016-07-17 09:54:00
2018-10-30,317.3,10.9,0.982,0.986,2018-10-30,10,54,2018,10,30,2018-10-30 10:54:00
2016-07-28,304.72,10.0,0.984,0.49,2016-07-28,10,0,2016,7,28,2016-07-28 10:00:00
2018-07-05,307.34000000000003,9.8,0.984,0.49,2018-07-05,9,48,2018,7,5,2018-07-05 09:48:00
2017-04-06,309.44,10.700000000000001,0.984,0.49,2017-04-06,10,42,2017,4,6,2017-04-06 10:42:00
2016-05-28,309.90000000000003,9.8,0.49,0.49,2016-05-28,9,48,2016,5,28,2016-05-28 09:48:00
2017-08-04,299.1,10.3,0.982,0.49,2017-08-04,10,18,2017,8,4,2017-08-04 10:18:00
2018-11-09,317.44,9.8,0.49,0.986,2018-11-09,9,48,2018,11,9,2018-11-09 09:48:00
2018-05-17,299.84000000000003,10.700000000000001,0.982,0.986,2018-05-17,10,42,2018,5,17,2018-05-17 10:42:00
2016-09-09,310.76,10.700000000000001,0.984,0.986,2016-09-09,10,42,2016,9,9,2016-09-09 10:42:00
2017-09-03,309.06,10.0,0.984,0.986,2017-09-03,10,0,2017,9,3,2017-09-03 10:00:00
2018-06-03,304.54,9.9,0.984,0.49,2018-06-03,9,54,2018,6,3,2018-06-03 09:54:00
2016-12-06,319.78000000000003,10.4,0.49,0.988,2016-12-06,10,24,2016,12,6,2016-12-06 10:24:00
