strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2016-01-17,299.62,9.8,0.984,0.986,2016-01-17,9,48,2016,1,17,2016-01-17 09:48:00
2016-02-29,305.68,11.0,0.49,0.986,2016-02-29,11,0,2016,2,29,2016-02-29 11:00:00
2016-03-18,304.06,9.8,0.982,0.49,2016-03-18,9,48,2016,3,18,2016-03-18 09:48:00
2016-03-28,300.84000000000003,10.5,0.49,0.49,2016-03-28,10,30,2016,3,28,2016-03-28 10:30:00
2016-04-03,301.12,10.4,0.49,0.49,2016-04-03,10,24,2016,4,3,2016-04-03 10:24:00
2016-04-06,300.34000000000003,9.9,0.49,0.49,2016-04-06,9,54,2016,4,6,2016-04-06 09:54:00
2016-04-07,303.26,10.0,0.49,0.49,2016-04-07,10,0,2016,4,7,2016-04-07 10:00:00
2016-04-09,300.04,10.4,0.49,0.49,2016-04-09,10,24,2016,4,9,2016-04-09 10:24:00
2016-04-10,307.0,10.600000000000001,0.49,0.986,2016-04-10,10,36,2016,4,10,2016-04-10 10:36:00
2016-04-13,303.18,9.8,0.982,0.49,2016-04-13,9,48,2016,4,13,2016-04-13 09:48:00
2016-04-14,303.46,9.700000000000001,0.49,0.986,2016-04-14,9,42,2016,4,14,2016-04-14 09:42:00
2016-04-23,304.54,10.8,0.984,0.986,2016-04-23,10,48,2016,4,23,2016-04-23 10:48:00
2016-04-24,307.02,10.4,0.982,0.986,2016-04-24,10,24,2016,4,24,2016-04-24 10:24:00
2016-04-25,302.2,9.8,0.984,0.986,2016-04-25,9,48,2016,4,25,2016-04-25 09:48:00
2016-04-26,306.64,10.100000000000001,0.984,0.49,2016-04-26,10,6,2016,4,26,2016-04-26 10:06:00
2016-05-15,302.92,10.9,0.49,0.986,2016-05-15,10,54,2016,5,15,2016-05-15 10:54:00
2016-05-20,301.06,10.0,0.982,0.49,2016-05-20,10,0,2016,5,20,2016-05-20 10:00:00
2016-05-24,303.82,10.100000000000001,0.982,0.49,2016-05-24,10,6,2016,5,24,2016-05-24 10:06:00
2016-05-26,304.54,10.700000000000001,0.982,0.986,2016-05-26,10,42,2016,5,26,2016-05-26 10:42:00
2016-05-27,302.72,10.600000000000001,0.982,0.986,2016-05-27,10,36,2016,5,27,2016-05-27 10:36:00
2016-05-30,303.90000000000003,10.700000000000001,0.984,0.986,2016-05-30,10,42,2016,5,30,2016-05-30 10:42:00
