strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2017-01-28,304.22,10.9,0.972,0.976,2017-01-28,10,54,2017,1,28,2017-01-28 10:54:00
2016-04-22,305.26,9.600000000000001,0.972,0.976,2016-04-22,9,36,2016,4,22,2016-04-22 09:36:00
2016-09-08,311.98,10.5,0.972,0.976,2016-09-08,10,30,2016,9,8,2016-09-08 10:30:00
2017-08-19,302.84000000000003,9.600000000000001,0.972,0.978,2017-08-19,9,36,2017,8,19,2017-08-19 09:36:00
2018-03-13,314.6,10.600000000000001,0.972,0.978,2018-03-13,10,36,2018,3,13,2018-03-13 10:36:00
2017-10-01,306.1,10.3,0.49,0.49,2017-10-01,10,18,2017,10,1,2017-10-01 10:18:00
2018-11-23,321.16,10.8,0.972,0.976,2018-11-23,10,48,2018,11,23,2018-11-23 10:48:00
2018-09-09,310.62,10.3,0.972,0.976,2018-09-09,10,18,2018,9,9,2018-09-09 10:18:00
2018-01-21,323.92,10.3,0.974,0.976,2018-01-21,10,18,2018,1,21,2018-01-21 10:18:00
2016-03-25,318.3,10.100000000000001,0.972,0.976,2016-03-25,10,6,2016,3,25,2016-03-25 10:06:00
2017-02-19,313.32,9.5,0.972,0.976,2017-02-19,9,30,2017,2,19,2017-02-19 09:30:00
2016-08-11,302.66,10.0,0.972,0.49,2016-08-11,10,0,2016,8,11,2016-08-11 10:00:00
2017-10-26,321.86,9.8,0.972,0.976,2017-10-26,9,48,2017,10,26,2017-10-26 09:48:00
2018-04-25,314.52,10.8,0.972,0.49,2018-04-25,10,48,2018,4,25,2018-04-25 10:48:00
2017-02-22,315.52,10.9,0.972,0.976,2017-02-22,10,54,2017,2,22,2017-02-22 10:54:00
2018-03-21,316.78000000000003,10.600000000000001,0.974,0.976,2018-03-21,10,36,2018,3,21,2018-03-21 10:36:00
2016-09-10,306.96,10.8,0.972,0.976,2016-09-10,10,48,2016,9,10,2016-09-10 10:48:00
2018-11-25,321.16,10.8,0.972,0.978,2018-11-25,10,48,2018,11,25,2018-11-25 10:48:00
2018-12-25,329.42,11.0,0.972,0.49,2018-12-25,11,0,2018,12,25,2018-12-25 11:00:00
2018-06-16,298.48,10.100000000000001,0.49,0.976,2018-06-16,10,6,2018,6,16,2018-06-16 10:06:00
2016-06-20,294.36,10.4,0.974,0.49,2016-06-20,10,24,2016,6,20,2016-06-20 10:24:00
2017-11-22,321.96,10.3,0.972,0.976,2017-11-22,10,18,2017,11,22,2017-11-22 10:18:00
2017-12-22,324.38,9.9,0.972,0.976,2017-12-22,9,54,2017,12,22,2017-12-22 09:54:00
2017-08-15,300.72,10.3,0.972,0.976,2017-08-15,10,18,2017,8,15,2017-08-15 10:18:00
2017-06-30,293.08,10.8,0.972,0.976,2017-06-30,10,48,2017,6,30,2017-06-30 10:48:00
2017-07-27,302.90000000000003,10.8,0.972,0.976,2017-07-27,10,48,2017,7,27,2017-07-27 10:48:00
2018-02-01,320.18,10.3,0.972,0.976,2018-02-01,10,18,2018,2,1,2018-02-01 10:18:00
2018-05-16,300.52,10.100000000000001,0.972,0.976,2018-05-16,10,6,2018,5,16,2018-05-16 10:06:00
2017-09-05,301.06,9.8,0.972,0.49,2017-09-05,9,48,2017,9,5,2017-09-05 09:48:00
2017-01-30,316.98,10.600000000000001,0.49,0.976,2017-01-30,10,36,2017,1,30,2017-01-30 10:36:00
2016-04-16,312.32,10.200000000000001,0.972,0.978,2016-04-16,10,12,2016,4,16,2016-04-16 10:12:00
2017-10-16,311.08,10.8,0.972,0.978,2017-10-16,10,48,2017,10,16,2017-10-16 10:48:00
2018-12-11,327.56,10.0,0.972,0.976,2018-12-11,10,0,2018,12,11,2018-12-11 10:00:00
2017-04-23,306.02,9.9,0.972,0.976,2017-04-23,9,54,2017,4,23,2017-04-23 09:54:00
2018-05-04,304.62,10.100000000000001,0.972,0.976,2018-05-04,10,6,2018,5,4,2018-05-04 10:06:00
2017-02-20,303.92,10.0,0.972,0.976,2017-02-20,10,0,2017,2,20,2017-02-20 10:00:00
2017-06-13,295.52,10.9,0.972,0.976,2017-06-13,10,54,2017,6,13,2017-06-13 10:54:00
2018-07-28,304.26,10.100000000000001,0.972,0.976,2018-07-28,10,6,2018,7,28,2018-07-28 10:06:00
2016-09-06,304.86,10.600000000000001,0.972,0.976,2016-09-06,10,36,2016,9,6,2016-09-06 10:36:00
2017-08-29,292.08,10.700000000000001,0.972,0.978,2017-08-29,10,42,2017,8,29,2017-08-29 10:42:00
2018-10-02,317.5,11.0,0.972,0.976,2018-10-02,11,0,2018,10,2,2018-10-02 11:00:00
