start_date,fpar,fpar_qc,fpar_lai_qc,fpar_stdev,lai500,lai_stdev,start_date,Year,Month,Day,timestamp
2015-01-01,0.73,8.0,16.0,8.0,0.08,8.0,2015-01-01,2015,1,1,2015-01-01
2015-01-09,0.87,0.0,32.0,2.0,0.02,2.0,2015-01-09,2015,1,9,2015-01-09
2015-01-17,0.77,72.0,0.0,1.0,0.01,1.0,2015-01-17,2015,1,17,2015-01-17
2015-01-25,0.87,0.0,32.0,7.0,0.07,7.0,2015-01-25,2015,1,25,2015-01-25
2015-02-02,0.8,8.0,0.0,2.0,0.02,2.0,2015-02-02,2015,2,2,2015-02-02
2015-02-10,0.89,0.0,16.0,6.0,0.06,6.0,2015-02-10,2015,2,10,2015-02-10
2015-02-18,0.87,8.0,32.0,5.0,0.05,5.0,2015-02-18,2015,2,18,2015-02-18
2015-02-26,0.87,0.0,32.0,10.0,0.1,10.0,2015-02-26,2015,2,26,2015-02-26
2015-03-06,0.88,8.0,32.0,4.0,0.04,4.0,2015-03-06,2015,3,6,2015-03-06
2015-03-14,0.87,0.0,32.0,6.0,0.06,6.0,2015-03-14,2015,3,14,2015-03-14
2015-03-22,0.8300000000000001,0.0,97.0,1.0,0.01,1.0,2015-03-22,2015,3,22,2015-03-22
2015-03-30,0.9,0.0,0.0,3.0,0.03,3.0,2015-03-30,2015,3,30,2015-03-30
2015-04-07,0.8,8.0,32.0,0.0,0.0,0.0,2015-04-07,2015,4,7,2015-04-07
2015-04-15,0.84,64.0,32.0,1.0,0.01,1.0,2015-04-15,2015,4,15,2015-04-15
2015-04-23,0.87,8.0,105.0,1.0,0.01,1.0,2015-04-23,2015,4,23,2015-04-23
2015-05-01,0.76,8.0,32.0,5.0,0.05,5.0,2015-05-01,2015,5,1,2015-05-01
2015-05-09,0.87,0.0,32.0,3.0,0.03,3.0,2015-05-09,2015,5,9,2015-05-09
2015-05-17,0.79,0.0,32.0,2.0,0.02,2.0,2015-05-17,2015,5,17,2015-05-17
2015-05-25,0.89,0.0,113.0,8.0,0.08,8.0,2015-05-25,2015,5,25,2015-05-25
2015-06-02,0.9,8.0,0.0,3.0,0.03,3.0,2015-06-02,2015,6,2,2015-06-02
2015-06-10,0.91,8.0,97.0,3.0,0.03,3.0,2015-06-10,2015,6,10,2015-06-10
2015-06-18,0.9,48.0,16.0,9.0,0.09,9.0,2015-06-18,2015,6,18,2015-06-18
2015-06-26,0.9,8.0,32.0,2.0,0.02,2.0,2015-06-26,2015,6,26,2015-06-26
2015-07-04,0.85,0.0,105.0,3.0,0.03,3.0,2015-07-04,2015,7,4,2015-07-04
2015-07-12,0.85,8.0,0.0,0.0,0.0,0.0,2015-07-12,2015,7,12,2015-07-12
2015-07-20,0.32,8.0,0.0,7.0,0.07,7.0,2015-07-20,2015,7,20,2015-07-20
2015-07-28,0.87,0.0,32.0,1.0,0.01,1.0,2015-07-28,2015,7,28,2015-07-28
2015-08-05,0.86,8.0,0.0,3.0,0.03,3.0,2015-08-05,2015,8,5,2015-08-05
2015-08-13,0.8300000000000001,0.0,32.0,3.0,0.03,3.0,2015-08-13,2015,8,13,2015-08-13
2015-08-21,0.59,0.0,97.0,7.0,0.07,7.0,2015-08-21,2015,8,21,2015-08-21
2015-08-29,0.79,0.0,0.0,8.0,0.08,8.0,2015-08-29,2015,8,29,2015-08-29
2015-09-06,0.77,32.0,97.0,1.0,0.01,1.0,2015-09-06,2015,9,6,2015-09-06
2015-09-14,0.79,0.0,32.0,3.0,0.03,3.0,2015-09-14,2015,9,14,2015-09-14
2015-09-22,0.8200000000000001,0.0,32.0,2.0,0.02,2.0,2015-09-22,2015,9,22,2015-09-22
2015-09-30,0.75,8.0,16.0,2.0,0.02,2.0,2015-09-30,2015,9,30,2015-09-30
2015-10-08,0.84,0.0,0.0,2.0,0.02,2.0,2015-10-08,2015,10,8,2015-10-08
