strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2017-01-26,297.86,10.0,0.49,0.984,2017-01-26,10,0,2017,1,26,2017-01-26 10:00:00
2017-03-13,292.72,10.5,0.49,0.984,2017-03-13,10,30,2017,3,13,2017-03-13 10:30:00
2016-10-01,284.8,10.3,0.49,0.984,2016-10-01,10,18,2016,10,1,2016-10-01 10:18:00
2017-09-09,277.32,10.200000000000001,0.98,0.984,2017-09-09,10,12,2017,9,9,2017-09-09 10:12:00
2017-01-21,292.5,10.200000000000001,0.49,0.984,2017-01-21,10,12,2017,1,21,2017-01-21 10:12:00
2015-03-17,291.72,10.0,0.982,0.49,2015-03-17,10,0,2015,3,17,2015-03-17 10:00:00
2016-11-22,299.66,10.200000000000001,0.98,0.984,2016-11-22,10,12,2016,11,22,2016-11-22 10:12:00
2017-10-11,289.64,9.700000000000001,0.98,0.984,2017-10-11,9,42,2017,10,11,2017-10-11 09:42:00
2017-05-16,282.3,10.100000000000001,0.982,0.984,2017-05-16,10,6,2017,5,16,2017-05-16 10:06:00
2017-12-11,296.66,9.9,0.98,0.984,2017-12-11,9,54,2017,12,11,2017-12-11 09:54:00
2015-06-21,276.2,10.4,0.98,0.49,2015-06-21,10,24,2015,6,21,2015-06-21 10:24:00
2017-05-04,283.18,10.0,0.49,0.984,2017-05-04,10,0,2017,5,4,2017-05-04 10:00:00
2016-06-13,277.44,9.8,0.98,0.984,2016-06-13,9,48,2016,6,13,2016-06-13 09:48:00
2015-01-18,291.8,10.200000000000001,0.98,0.984,2015-01-18,10,12,2015,1,18,2015-01-18 10:12:00
2016-11-07,288.66,10.4,0.49,0.984,2016-11-07,10,24,2016,11,7,2016-11-07 10:24:00
2017-04-02,285.42,10.100000000000001,0.982,0.984,2017-04-02,10,6,2017,4,2,2017-04-02 10:06:00
2017-06-19,280.12,10.3,0.982,0.49,2017-06-19,10,18,2017,6,19,2017-06-19 10:18:00
2015-11-07,289.72,10.8,0.49,0.49,2015-11-07,10,48,2015,11,7,2015-11-07 10:48:00
2015-01-26,289.08,10.5,0.49,0.984,2015-01-26,10,30,2015,1,26,2015-01-26 10:30:00
2016-03-01,294.38,10.200000000000001,0.49,0.984,2016-03-01,10,12,2016,3,1,2016-03-01 10:12:00
2016-02-06,295.16,9.8,0.982,0.984,2016-02-06,9,48,2016,2,6,2016-02-06 09:48:00
2017-01-05,296.86,9.3,0.49,0.49,2017-01-05,9,18,2017,1,5,2017-01-05 09:18:00
2015-12-05,293.24,11.0,0.982,0.984,2015-12-05,11,0,2015,12,5,2015-12-05 11:00:00
2017-08-29,278.18,9.700000000000001,0.982,0.982,2017-08-29,9,42,2017,8,29,2017-08-29 09:42:00
2015-03-05,288.52,10.9,0.49,0.984,2015-03-05,10,54,2015,3,5,2015-03-05 10:54:00
2015-01-02,301.74,10.4,0.98,0.984,2015-01-02,10,24,2015,1,2,2015-01-02 10:24:00
2015-04-29,282.2,10.3,0.49,0.984,2015-04-29,10,18,2015,4,29,2015-04-29 10:18:00
2015-05-22,280.26,10.8,0.982,0.984,2015-05-22,10,48,2015,5,22,2015-05-22 10:48:00
2016-01-10,298.94,10.3,0.98,0.984,2016-01-10,10,18,2016,1,10,2016-01-10 10:18:00
2017-11-08,288.26,10.4,0.98,0.49,2017-11-08,10,24,2017,11,8,2017-11-08 10:24:00
2016-02-07,294.52,9.3,0.98,0.984,2016-02-07,9,18,2016,2,7,2016-02-07 09:18:00
2015-01-19,289.56,10.4,0.49,0.984,2015-01-19,10,24,2015,1,19,2015-01-19 10:24:00
2017-10-15,291.32,9.700000000000001,0.98,0.984,2017-10-15,9,42,2017,10,15,2017-10-15 09:42:00
2015-12-06,298.12,10.600000000000001,0.982,0.984,2015-12-06,10,36,2015,12,6,2015-12-06 10:36:00
2017-08-28,276.38,10.3,0.982,0.984,2017-08-28,10,18,2017,8,28,2017-08-28 10:18:00
2016-03-02,297.40000000000003,9.8,0.49,0.49,2016-03-02,9,48,2016,3,2,2016-03-02 09:48:00
2017-01-15,293.58,9.3,0.98,0.984,2017-01-15,9,18,2017,1,15,2017-01-15 09:18:00
2015-01-14,293.12,10.8,0.98,0.984,2015-01-14,10,48,2015,1,14,2015-01-14 10:48:00
2016-12-20,291.7,9.9,0.49,0.984,2016-12-20,9,54,2016,12,20,2016-12-20 09:54:00
