strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2008-07-03,0.0,10.5,247.0,248.0,2008-07-03,10,30,2008,7,3,2008-07-03 10:30:00
2008-07-11,308.06,10.5,247.0,248.0,2008-07-11,10,30,2008,7,11,2008-07-11 10:30:00
2008-07-13,309.90000000000003,10.8,246.0,248.0,2008-07-13,10,48,2008,7,13,2008-07-13 10:48:00
2008-07-14,0.0,10.200000000000001,246.0,249.0,2008-07-14,10,12,2008,7,14,2008-07-14 10:12:00
2008-07-16,312.18,10.600000000000001,246.0,248.0,2008-07-16,10,36,2008,7,16,2008-07-16 10:36:00
2008-07-17,307.14,10.4,247.0,249.0,2008-07-17,10,24,2008,7,17,2008-07-17 10:24:00
2008-07-22,305.76,10.0,247.0,249.0,2008-07-22,10,0,2008,7,22,2008-07-22 10:00:00
2008-07-26,0.0,10.0,247.0,248.0,2008-07-26,10,0,2008,7,26,2008-07-26 10:00:00
2008-08-04,0.0,10.8,247.0,248.0,2008-08-04,10,48,2008,8,4,2008-08-04 10:48:00
2008-08-09,306.56,10.9,246.0,249.0,2008-08-09,10,54,2008,8,9,2008-08-09 10:54:00
2008-08-19,310.88,10.5,247.0,249.0,2008-08-19,10,30,2008,8,19,2008-08-19 10:30:00
2008-09-14,311.90000000000003,10.200000000000001,246.0,249.0,2008-09-14,10,12,2008,9,14,2008-09-14 10:12:00
2008-09-24,0.0,9.9,247.0,248.0,2008-09-24,9,54,2008,9,24,2008-09-24 09:54:00
2008-10-02,315.26,11.0,247.0,248.0,2008-10-02,11,0,2008,10,2,2008-10-02 11:00:00
2008-10-17,0.0,10.200000000000001,247.0,248.0,2008-10-17,10,12,2008,10,17,2008-10-17 10:12:00
2008-10-26,313.64,10.700000000000001,247.0,248.0,2008-10-26,10,42,2008,10,26,2008-10-26 10:42:00
2008-10-31,319.04,10.100000000000001,247.0,248.0,2008-10-31,10,6,2008,10,31,2008-10-31 10:06:00
2008-11-04,0.0,10.0,247.0,249.0,2008-11-04,10,0,2008,11,4,2008-11-04 10:00:00
2008-11-11,0.0,10.600000000000001,247.0,249.0,2008-11-11,10,36,2008,11,11,2008-11-11 10:36:00
2008-11-25,0.0,10.600000000000001,247.0,248.0,2008-11-25,10,36,2008,11,25,2008-11-25 10:36:00
2008-12-01,0.0,10.0,246.0,249.0,2008-12-01,10,0,2008,12,1,2008-12-01 10:00:00
2008-12-17,0.0,10.4,247.0,248.0,2008-12-17,10,24,2008,12,17,2008-12-17 10:24:00
2009-01-04,0.0,10.200000000000001,247.0,248.0,2009-01-04,10,12,2009,1,4,2009-01-04 10:12:00
2009-01-06,0.0,10.9,247.0,248.0,2009-01-06,10,54,2009,1,6,2009-01-06 10:54:00
2009-01-20,0.0,10.5,246.0,249.0,2009-01-20,10,30,2009,1,20,2009-01-20 10:30:00
2009-01-22,0.0,11.0,247.0,249.0,2009-01-22,11,0,2009,1,22,2009-01-22 11:00:00
2009-03-04,287.7,9.8,247.0,249.0,2009-03-04,9,48,2009,3,4,2009-03-04 09:48:00
2009-04-02,308.90000000000003,10.8,247.0,248.0,2009-04-02,10,48,2009,4,2,2009-04-02 10:48:00
2009-04-06,304.3,10.200000000000001,246.0,248.0,2009-04-06,10,12,2009,4,6,2009-04-06 10:12:00
2009-04-23,308.92,10.3,247.0,248.0,2009-04-23,10,18,2009,4,23,2009-04-23 10:18:00
2009-04-26,302.92,10.100000000000001,246.0,248.0,2009-04-26,10,6,2009,4,26,2009-04-26 10:06:00
2009-05-01,0.0,10.8,247.0,249.0,2009-05-01,10,48,2009,5,1,2009-05-01 10:48:00
2009-05-03,0.0,11.0,247.0,249.0,2009-05-03,11,0,2009,5,3,2009-05-03 11:00:00
2009-05-04,309.18,9.8,247.0,248.0,2009-05-04,9,48,2009,5,4,2009-05-04 09:48:00
2009-05-05,0.0,10.200000000000001,247.0,249.0,2009-05-05,10,12,2009,5,5,2009-05-05 10:12:00
2009-05-09,0.0,10.4,247.0,248.0,2009-05-09,10,24,2009,5,9,2009-05-09 10:24:00
2009-05-10,0.0,9.8,247.0,248.0,2009-05-10,9,48,2009,5,10,2009-05-10 09:48:00
2009-05-11,305.44,10.5,247.0,249.0,2009-05-11,10,30,2009,5,11,2009-05-11 10:30:00
2009-05-13,303.76,9.700000000000001,246.0,248.0,2009-05-13,9,42,2009,5,13,2009-05-13 09:42:00
2009-05-23,310.78000000000003,10.600000000000001,247.0,249.0,2009-05-23,10,36,2009,5,23,2009-05-23 10:36:00
2009-05-27,310.06,10.5,247.0,248.0,2009-05-27,10,30,2009,5,27,2009-05-27 10:30:00
2009-05-29,0.0,10.200000000000001,246.0,248.0,2009-05-29,10,12,2009,5,29,2009-05-29 10:12:00
2009-06-08,0.0,10.4,247.0,248.0,2009-06-08,10,24,2009,6,8,2009-06-08 10:24:00
2009-06-10,307.98,10.100000000000001,247.0,248.0,2009-06-10,10,6,2009,6,10,2009-06-10 10:06:00
2009-07-02,308.12,10.200000000000001,247.0,248.0,2009-07-02,10,12,2009,7,2,2009-07-02 10:12:00
2009-07-20,0.0,10.3,247.0,248.0,2009-07-20,10,18,2009,7,20,2009-07-20 10:18:00
2009-07-22,0.0,10.9,247.0,249.0,2009-07-22,10,54,2009,7,22,2009-07-22 10:54:00
2009-07-28,310.98,10.5,246.0,248.0,2009-07-28,10,30,2009,7,28,2009-07-28 10:30:00
2009-07-31,308.08,9.8,247.0,248.0,2009-07-31,9,48,2009,7,31,2009-07-31 09:48:00
2009-08-07,0.0,11.0,247.0,248.0,2009-08-07,11,0,2009,8,7,2009-08-07 11:00:00
2009-08-11,314.28000000000003,10.3,246.0,249.0,2009-08-11,10,18,2009,8,11,2009-08-11 10:18:00
2009-08-19,310.92,10.0,247.0,249.0,2009-08-19,10,0,2009,8,19,2009-08-19 10:00:00
2009-08-24,315.0,10.0,247.0,249.0,2009-08-24,10,0,2009,8,24,2009-08-24 10:00:00
2009-08-29,0.0,10.9,247.0,248.0,2009-08-29,10,54,2009,8,29,2009-08-29 10:54:00
2009-09-04,313.52,10.5,247.0,248.0,2009-09-04,10,30,2009,9,4,2009-09-04 10:30:00
2009-09-11,312.76,10.700000000000001,246.0,248.0,2009-09-11,10,42,2009,9,11,2009-09-11 10:42:00
2009-09-12,314.88,9.8,246.0,249.0,2009-09-12,9,48,2009,9,12,2009-09-12 09:48:00
2009-09-24,0.0,10.0,247.0,248.0,2009-09-24,10,0,2009,9,24,2009-09-24 10:00:00
2009-09-26,312.08,10.600000000000001,247.0,248.0,2009-09-26,10,36,2009,9,26,2009-09-26 10:36:00
2009-09-30,318.78000000000003,10.100000000000001,246.0,248.0,2009-09-30,10,6,2009,9,30,2009-09-30 10:06:00
2009-10-14,315.14,9.700000000000001,247.0,249.0,2009-10-14,9,42,2009,10,14,2009-10-14 09:42:00
2009-10-15,307.78000000000003,10.600000000000001,247.0,249.0,2009-10-15,10,36,2009,10,15,2009-10-15 10:36:00
2009-10-21,315.8,10.0,246.0,248.0,2009-10-21,10,0,2009,10,21,2009-10-21 10:00:00
2009-10-22,0.0,10.200000000000001,247.0,249.0,2009-10-22,10,12,2009,10,22,2009-10-22 10:12:00
2009-10-29,316.34000000000003,10.3,247.0,249.0,2009-10-29,10,18,2009,10,29,2009-10-29 10:18:00
2009-11-07,314.82,10.600000000000001,247.0,249.0,2009-11-07,10,36,2009,11,7,2009-11-07 10:36:00
2009-11-09,0.0,10.0,246.0,248.0,2009-11-09,10,0,2009,11,9,2009-11-09 10:00:00
2009-11-14,311.58,10.5,247.0,248.0,2009-11-14,10,30,2009,11,14,2009-11-14 10:30:00
2009-11-19,0.0,10.8,247.0,248.0,2009-11-19,10,48,2009,11,19,2009-11-19 10:48:00
2009-11-24,0.0,10.100000000000001,247.0,248.0,2009-11-24,10,6,2009,11,24,2009-11-24 10:06:00
2009-12-19,307.42,9.9,246.0,248.0,2009-12-19,9,54,2009,12,19,2009-12-19 09:54:00
2009-12-31,0.0,10.5,247.0,249.0,2009-12-31,10,30,2009,12,31,2009-12-31 10:30:00
2010-01-04,0.0,10.8,247.0,248.0,2010-01-04,10,48,2010,1,4,2010-01-04 10:48:00
2010-01-16,0.0,10.5,247.0,249.0,2010-01-16,10,30,2010,1,16,2010-01-16 10:30:00
2010-01-25,0.0,10.5,247.0,248.0,2010-01-25,10,30,2010,1,25,2010-01-25 10:30:00
2010-01-28,0.0,9.9,247.0,248.0,2010-01-28,9,54,2010,1,28,2010-01-28 09:54:00
2010-02-20,0.0,11.0,246.0,248.0,2010-02-20,11,0,2010,2,20,2010-02-20 11:00:00
2010-02-25,0.0,10.100000000000001,247.0,248.0,2010-02-25,10,6,2010,2,25,2010-02-25 10:06:00
2010-03-03,0.0,10.8,247.0,248.0,2010-03-03,10,48,2010,3,3,2010-03-03 10:48:00
2010-03-06,305.52,10.600000000000001,246.0,249.0,2010-03-06,10,36,2010,3,6,2010-03-06 10:36:00
2010-03-16,0.0,10.200000000000001,246.0,248.0,2010-03-16,10,12,2010,3,16,2010-03-16 10:12:00
2010-03-19,0.0,10.5,247.0,249.0,2010-03-19,10,30,2010,3,19,2010-03-19 10:30:00
2010-03-31,0.0,10.600000000000001,247.0,249.0,2010-03-31,10,36,2010,3,31,2010-03-31 10:36:00
2010-04-03,308.02,10.100000000000001,247.0,248.0,2010-04-03,10,6,2010,4,3,2010-04-03 10:06:00
2010-04-05,307.6,10.8,247.0,248.0,2010-04-05,10,48,2010,4,5,2010-04-05 10:48:00
2010-05-17,0.0,10.3,247.0,248.0,2010-05-17,10,18,2010,5,17,2010-05-17 10:18:00
2010-05-19,305.56,10.4,246.0,249.0,2010-05-19,10,24,2010,5,19,2010-05-19 10:24:00
2010-05-30,0.0,10.100000000000001,246.0,249.0,2010-05-30,10,6,2010,5,30,2010-05-30 10:06:00
2010-06-10,301.66,10.0,246.0,249.0,2010-06-10,10,0,2010,6,10,2010-06-10 10:00:00
2010-06-18,307.04,10.200000000000001,247.0,248.0,2010-06-18,10,12,2010,6,18,2010-06-18 10:12:00
2010-06-19,303.28000000000003,10.3,246.0,248.0,2010-06-19,10,18,2010,6,19,2010-06-19 10:18:00
2010-06-26,306.3,10.8,246.0,248.0,2010-06-26,10,48,2010,6,26,2010-06-26 10:48:00
2010-07-12,306.34000000000003,10.600000000000001,246.0,249.0,2010-07-12,10,36,2010,7,12,2010-07-12 10:36:00
2010-07-22,306.88,10.4,247.0,249.0,2010-07-22,10,24,2010,7,22,2010-07-22 10:24:00
2010-07-24,308.16,10.5,247.0,248.0,2010-07-24,10,30,2010,7,24,2010-07-24 10:30:00
2010-07-26,308.90000000000003,10.3,247.0,249.0,2010-07-26,10,18,2010,7,26,2010-07-26 10:18:00
