strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2008-06-29,306.48,10.100000000000001,0.49,0.988,2008-06-29,10,6,2008,6,29,2008-06-29 10:06:00
2008-06-30,311.18,9.8,0.984,0.49,2008-06-30,9,48,2008,6,30,2008-06-30 09:48:00
2008-07-02,310.6,10.100000000000001,0.49,0.49,2008-07-02,10,6,2008,7,2,2008-07-02 10:06:00
2008-07-06,306.34000000000003,9.700000000000001,0.984,0.49,2008-07-06,9,42,2008,7,6,2008-07-06 09:42:00
2008-07-11,308.06,10.5,0.984,0.986,2008-07-11,10,30,2008,7,11,2008-07-11 10:30:00
2008-07-13,309.90000000000003,10.8,0.982,0.986,2008-07-13,10,48,2008,7,13,2008-07-13 10:48:00
2008-07-15,307.52,10.3,0.984,0.49,2008-07-15,10,18,2008,7,15,2008-07-15 10:18:00
2008-07-16,312.18,10.600000000000001,0.982,0.986,2008-07-16,10,36,2008,7,16,2008-07-16 10:36:00
2008-07-17,307.14,10.4,0.984,0.988,2008-07-17,10,24,2008,7,17,2008-07-17 10:24:00
2008-07-18,311.62,10.200000000000001,0.49,0.986,2008-07-18,10,12,2008,7,18,2008-07-18 10:12:00
2008-07-20,310.40000000000003,10.200000000000001,0.49,0.49,2008-07-20,10,12,2008,7,20,2008-07-20 10:12:00
2008-07-21,308.18,9.8,0.49,0.988,2008-07-21,9,48,2008,7,21,2008-07-21 09:48:00
2008-07-22,305.76,10.0,0.984,0.988,2008-07-22,10,0,2008,7,22,2008-07-22 10:00:00
2008-07-25,308.42,9.700000000000001,0.49,0.49,2008-07-25,9,42,2008,7,25,2008-07-25 09:42:00
2008-07-28,309.94,10.5,0.982,0.49,2008-07-28,10,30,2008,7,28,2008-07-28 10:30:00
2008-08-01,309.42,10.200000000000001,0.984,0.49,2008-08-01,10,12,2008,8,1,2008-08-01 10:12:00
2008-08-03,312.88,10.0,0.984,0.49,2008-08-03,10,0,2008,8,3,2008-08-03 10:00:00
2008-08-07,308.42,10.100000000000001,0.49,0.49,2008-08-07,10,6,2008,8,7,2008-08-07 10:06:00
2008-08-09,306.56,10.9,0.982,0.988,2008-08-09,10,54,2008,8,9,2008-08-09 10:54:00
