strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2017-01-28,305.44,10.9,0.972,0.976,2017-01-28,10,54,2017,1,28,2017-01-28 10:54:00
2016-09-08,309.46,10.5,0.972,0.976,2016-09-08,10,30,2016,9,8,2016-09-08 10:30:00
2017-08-19,300.90000000000003,9.600000000000001,0.972,0.976,2017-08-19,9,36,2017,8,19,2017-08-19 09:36:00
2018-08-11,295.66,10.3,0.972,0.49,2018-08-11,10,18,2018,8,11,2018-08-11 10:18:00
2018-03-13,310.52,10.600000000000001,0.972,0.978,2018-03-13,10,36,2018,3,13,2018-03-13 10:36:00
2018-11-23,316.56,10.8,0.972,0.976,2018-11-23,10,48,2018,11,23,2018-11-23 10:48:00
2016-01-27,319.36,10.0,0.972,0.976,2016-01-27,10,0,2016,1,27,2016-01-27 10:00:00
2018-09-09,307.92,10.3,0.972,0.976,2018-09-09,10,18,2018,9,9,2018-09-09 10:18:00
2018-01-21,320.8,10.3,0.972,0.976,2018-01-21,10,18,2018,1,21,2018-01-21 10:18:00
2016-03-25,318.2,10.100000000000001,0.972,0.976,2016-03-25,10,6,2016,3,25,2016-03-25 10:06:00
2016-03-02,322.74,9.8,0.972,0.976,2016-03-02,9,48,2016,3,2,2016-03-02 09:48:00
2016-08-11,301.86,10.0,0.972,0.976,2016-08-11,10,0,2016,8,11,2016-08-11 10:00:00
2017-10-26,319.90000000000003,9.8,0.972,0.976,2017-10-26,9,48,2017,10,26,2017-10-26 09:48:00
2018-04-25,310.96,10.8,0.972,0.49,2018-04-25,10,48,2018,4,25,2018-04-25 10:48:00
2017-02-22,312.32,10.9,0.972,0.976,2017-02-22,10,54,2017,2,22,2017-02-22 10:54:00
2018-03-21,314.22,10.600000000000001,0.974,0.976,2018-03-21,10,36,2018,3,21,2018-03-21 10:36:00
2016-09-10,306.12,10.8,0.972,0.976,2016-09-10,10,48,2016,9,10,2016-09-10 10:48:00
2018-11-25,322.06,10.8,0.972,0.976,2018-11-25,10,48,2018,11,25,2018-11-25 10:48:00
2018-12-25,326.88,11.0,0.49,0.49,2018-12-25,11,0,2018,12,25,2018-12-25 11:00:00
2018-06-16,296.22,10.100000000000001,0.49,0.976,2018-06-16,10,6,2018,6,16,2018-06-16 10:06:00
2016-06-20,293.08,10.4,0.972,0.49,2016-06-20,10,24,2016,6,20,2016-06-20 10:24:00
2017-11-22,315.12,10.3,0.972,0.976,2017-11-22,10,18,2017,11,22,2017-11-22 10:18:00
2017-12-22,313.18,9.9,0.972,0.976,2017-12-22,9,54,2017,12,22,2017-12-22 09:54:00
2016-02-07,306.62,10.100000000000001,0.972,0.976,2016-02-07,10,6,2016,2,7,2016-02-07 10:06:00
2017-06-30,291.5,10.8,0.972,0.976,2017-06-30,10,48,2017,6,30,2017-06-30 10:48:00
2017-07-27,300.74,10.8,0.972,0.976,2017-07-27,10,48,2017,7,27,2017-07-27 10:48:00
2018-05-16,298.06,10.100000000000001,0.49,0.976,2018-05-16,10,6,2018,5,16,2018-05-16 10:06:00
2017-09-05,298.72,9.8,0.972,0.49,2017-09-05,9,48,2017,9,5,2017-09-05 09:48:00
2017-01-30,313.02,10.600000000000001,0.49,0.49,2017-01-30,10,36,2017,1,30,2017-01-30 10:36:00
2016-04-16,311.16,10.200000000000001,0.972,0.976,2016-04-16,10,12,2016,4,16,2016-04-16 10:12:00
2017-10-16,309.58,10.8,0.972,0.976,2017-10-16,10,48,2017,10,16,2017-10-16 10:48:00
2018-12-11,325.34000000000003,10.0,0.972,0.976,2018-12-11,10,0,2018,12,11,2018-12-11 10:00:00
2016-06-29,294.44,10.5,0.972,0.976,2016-06-29,10,30,2016,6,29,2016-06-29 10:30:00
2016-11-07,317.1,9.9,0.972,0.976,2016-11-07,9,54,2016,11,7,2016-11-07 09:54:00
2016-08-14,300.46,10.4,0.972,0.976,2016-08-14,10,24,2016,8,14,2016-08-14 10:24:00
2018-05-04,302.56,10.100000000000001,0.972,0.976,2018-05-04,10,6,2018,5,4,2018-05-04 10:06:00
2017-06-13,293.96,10.8,0.972,0.976,2017-06-13,10,48,2017,6,13,2017-06-13 10:48:00
2018-07-28,300.52,10.100000000000001,0.49,0.976,2018-07-28,10,6,2018,7,28,2018-07-28 10:06:00
2016-09-06,302.86,10.600000000000001,0.972,0.976,2016-09-06,10,36,2016,9,6,2016-09-06 10:36:00
2018-10-02,315.48,10.9,0.972,0.976,2018-10-02,10,54,2018,10,2,2018-10-02 10:54:00
2018-10-04,313.34000000000003,10.600000000000001,0.49,0.976,2018-10-04,10,36,2018,10,4,2018-10-04 10:36:00
2018-03-30,313.8,10.700000000000001,0.972,0.976,2018-03-30,10,42,2018,3,30,2018-03-30 10:42:00
2018-07-30,300.02,10.0,0.972,0.976,2018-07-30,10,0,2018,7,30,2018-07-30 10:00:00
2017-10-25,313.98,10.8,0.972,0.976,2017-10-25,10,48,2017,10,25,2017-10-25 10:48:00
2018-04-02,315.66,10.200000000000001,0.972,0.976,2018-04-02,10,12,2018,4,2,2018-04-02 10:12:00
2017-03-11,310.82,10.5,0.974,0.976,2017-03-11,10,30,2017,3,11,2017-03-11 10:30:00
2017-07-23,299.08,10.3,0.49,0.49,2017-07-23,10,18,2017,7,23,2017-07-23 10:18:00
2017-10-21,313.2,10.5,0.972,0.976,2017-10-21,10,30,2017,10,21,2017-10-21 10:30:00
2016-07-02,290.14,9.9,0.972,0.976,2016-07-02,9,54,2016,7,2,2016-07-02 09:54:00
2016-08-18,307.68,10.100000000000001,0.972,0.976,2016-08-18,10,6,2016,8,18,2016-08-18 10:06:00
2016-05-14,300.48,9.600000000000001,0.972,0.976,2016-05-14,9,36,2016,5,14,2016-05-14 09:36:00
2018-06-19,292.84000000000003,10.4,0.49,0.976,2018-06-19,10,24,2018,6,19,2018-06-19 10:24:00
2016-11-15,317.28000000000003,10.9,0.49,0.976,2016-11-15,10,54,2016,11,15,2016-11-15 10:54:00
2017-12-03,302.48,11.0,0.49,0.976,2017-12-03,11,0,2017,12,3,2017-12-03 11:00:00
2018-10-01,312.68,10.0,0.972,0.976,2018-10-01,10,0,2018,10,1,2018-10-01 10:00:00
2018-05-26,300.16,9.8,0.972,0.49,2018-05-26,9,48,2018,5,26,2018-05-26 09:48:00
2018-07-18,299.16,10.600000000000001,0.972,0.976,2018-07-18,10,36,2018,7,18,2018-07-18 10:36:00
2017-12-15,317.68,10.8,0.49,0.978,2017-12-15,10,48,2017,12,15,2017-12-15 10:48:00
2018-12-23,321.66,10.700000000000001,0.972,0.976,2018-12-23,10,42,2018,12,23,2018-12-23 10:42:00
2017-08-07,300.04,10.100000000000001,0.972,0.976,2017-08-07,10,6,2017,8,7,2017-08-07 10:06:00
2017-06-16,298.72,10.600000000000001,0.972,0.976,2017-06-16,10,36,2017,6,16,2017-06-16 10:36:00
2016-07-16,286.66,10.600000000000001,0.972,0.976,2016-07-16,10,36,2016,7,16,2016-07-16 10:36:00
2018-10-17,311.88,10.8,0.972,0.49,2018-10-17,10,48,2018,10,17,2018-10-17 10:48:00
2018-06-02,296.34000000000003,10.5,0.972,0.976,2018-06-02,10,30,2018,6,2,2018-06-02 10:30:00
2017-05-12,302.46,10.5,0.49,0.976,2017-05-12,10,30,2017,5,12,2017-05-12 10:30:00
2016-08-01,301.1,10.3,0.49,0.976,2016-08-01,10,18,2016,8,1,2016-08-01 10:18:00
2017-03-17,310.78000000000003,10.0,0.972,0.976,2017-03-17,10,0,2017,3,17,2017-03-17 10:00:00
2017-02-18,307.24,10.100000000000001,0.972,0.49,2017-02-18,10,6,2017,2,18,2017-02-18 10:06:00
2017-08-12,301.16,10.4,0.49,0.976,2017-08-12,10,24,2017,8,12,2017-08-12 10:24:00
2016-07-03,294.8,10.5,0.972,0.49,2016-07-03,10,30,2016,7,3,2016-07-03 10:30:00
2017-02-14,311.04,10.8,0.972,0.49,2017-02-14,10,48,2017,2,14,2017-02-14 10:48:00
2017-11-04,321.1,9.9,0.972,0.976,2017-11-04,9,54,2017,11,4,2017-11-04 09:54:00
2017-06-15,294.48,10.100000000000001,0.972,0.49,2017-06-15,10,6,2017,6,15,2017-06-15 10:06:00
2017-08-20,298.66,11.0,0.972,0.49,2017-08-20,11,0,2017,8,20,2017-08-20 11:00:00
2018-01-05,322.84000000000003,10.3,0.972,0.976,2018-01-05,10,18,2018,1,5,2018-01-05 10:18:00
2018-08-06,296.24,10.4,0.972,0.976,2018-08-06,10,24,2018,8,6,2018-08-06 10:24:00
2016-12-13,320.14,10.9,0.49,0.976,2016-12-13,10,54,2016,12,13,2016-12-13 10:54:00
2018-05-28,302.06,9.9,0.49,0.976,2018-05-28,9,54,2018,5,28,2018-05-28 09:54:00
2017-07-19,291.8,10.600000000000001,0.972,0.976,2017-07-19,10,36,2017,7,19,2017-07-19 10:36:00
2017-05-09,295.96,9.8,0.972,0.978,2017-05-09,9,48,2017,5,9,2017-05-09 09:48:00
2018-03-14,310.0,10.0,0.972,0.49,2018-03-14,10,0,2018,3,14,2018-03-14 10:00:00
2016-07-14,286.04,10.4,0.49,0.976,2016-07-14,10,24,2016,7,14,2016-07-14 10:24:00
2016-01-02,314.72,10.5,0.972,0.976,2016-01-02,10,30,2016,1,2,2016-01-02 10:30:00
2016-05-23,304.62,9.700000000000001,0.972,0.976,2016-05-23,9,42,2016,5,23,2016-05-23 09:42:00
2017-05-17,305.1,9.700000000000001,0.972,0.49,2017-05-17,9,42,2017,5,17,2017-05-17 09:42:00
2017-08-02,295.5,10.600000000000001,0.972,0.976,2017-08-02,10,36,2017,8,2,2017-08-02 10:36:00
2017-09-07,297.36,10.8,0.972,0.976,2017-09-07,10,48,2017,9,7,2017-09-07 10:48:00
2018-03-22,313.24,10.100000000000001,0.972,0.976,2018-03-22,10,6,2018,3,22,2018-03-22 10:06:00
2016-08-04,295.94,10.100000000000001,0.972,0.976,2016-08-04,10,6,2016,8,4,2016-08-04 10:06:00
2016-05-22,302.04,10.200000000000001,0.972,0.976,2016-05-22,10,12,2016,5,22,2016-05-22 10:12:00
2017-02-15,311.98,10.3,0.972,0.976,2017-02-15,10,18,2017,2,15,2017-02-15 10:18:00
2017-02-26,312.24,10.200000000000001,0.972,0.976,2017-02-26,10,12,2017,2,26,2017-02-26 10:12:00
2017-03-05,314.2,11.0,0.972,0.976,2017-03-05,11,0,2017,3,5,2017-03-05 11:00:00
2018-08-17,305.64,10.200000000000001,0.972,0.976,2018-08-17,10,12,2018,8,17,2018-08-17 10:12:00
2017-03-13,306.40000000000003,10.600000000000001,0.972,0.976,2017-03-13,10,36,2017,3,13,2017-03-13 10:36:00
2016-09-07,306.08,9.700000000000001,0.972,0.976,2016-09-07,9,42,2016,9,7,2016-09-07 09:42:00
2016-12-14,319.2,10.700000000000001,0.972,0.49,2016-12-14,10,42,2016,12,14,2016-12-14 10:42:00
2016-06-14,290.72,10.200000000000001,0.972,0.976,2016-06-14,10,12,2016,6,14,2016-06-14 10:12:00
2017-02-10,311.36,9.9,0.974,0.976,2017-02-10,9,54,2017,2,10,2017-02-10 09:54:00
2017-10-19,319.38,9.700000000000001,0.972,0.976,2017-10-19,9,42,2017,10,19,2017-10-19 09:42:00
2017-03-02,313.58,10.8,0.972,0.976,2017-03-02,10,48,2017,3,2,2017-03-02 10:48:00
2018-01-25,314.92,10.700000000000001,0.49,0.49,2018-01-25,10,42,2018,1,25,2018-01-25 10:42:00
2018-01-15,310.68,10.3,0.972,0.976,2018-01-15,10,18,2018,1,15,2018-01-15 10:18:00
2017-03-25,312.78000000000003,10.0,0.972,0.976,2017-03-25,10,0,2017,3,25,2017-03-25 10:00:00
