strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2016-01-02,314.72,10.200000000000001,0.972,0.976,2016-01-02,10,12,2016,1,2,2016-01-02 10:12:00
2016-01-03,316.26,10.9,0.972,0.976,2016-01-03,10,54,2016,1,3,2016-01-03 10:54:00
2016-01-04,319.96,10.0,0.972,0.976,2016-01-04,10,0,2016,1,4,2016-01-04 10:00:00
2016-01-05,319.48,10.700000000000001,0.972,0.976,2016-01-05,10,42,2016,1,5,2016-01-05 10:42:00
2016-01-06,315.66,9.8,0.972,0.976,2016-01-06,9,48,2016,1,6,2016-01-06 09:48:00
2016-01-07,320.46,10.5,0.972,0.976,2016-01-07,10,30,2016,1,7,2016-01-07 10:30:00
2016-01-08,313.96,9.600000000000001,0.972,0.976,2016-01-08,9,36,2016,1,8,2016-01-08 09:36:00
2016-01-09,323.18,10.3,0.972,0.976,2016-01-09,10,18,2016,1,9,2016-01-09 10:18:00
2016-01-11,323.16,10.100000000000001,0.972,0.976,2016-01-11,10,6,2016,1,11,2016-01-11 10:06:00
2016-01-18,309.66,10.200000000000001,0.972,0.976,2016-01-18,10,12,2016,1,18,2016-01-18 10:12:00
2016-01-22,311.92,9.8,0.972,0.976,2016-01-22,9,48,2016,1,22,2016-01-22 09:48:00
2016-01-25,315.18,10.3,0.972,0.976,2016-01-25,10,18,2016,1,25,2016-01-25 10:18:00
2016-01-27,319.36,10.100000000000001,0.972,0.976,2016-01-27,10,6,2016,1,27,2016-01-27 10:06:00
2016-02-04,311.48,10.9,0.972,0.976,2016-02-04,10,54,2016,2,4,2016-02-04 10:54:00
2016-02-05,315.38,10.0,0.972,0.976,2016-02-05,10,0,2016,2,5,2016-02-05 10:00:00
2016-02-06,316.1,10.700000000000001,0.972,0.976,2016-02-06,10,42,2016,2,6,2016-02-06 10:42:00
2016-02-07,306.62,9.8,0.972,0.976,2016-02-07,9,48,2016,2,7,2016-02-07 09:48:00
2016-02-08,317.92,10.5,0.972,0.976,2016-02-08,10,30,2016,2,8,2016-02-08 10:30:00
2016-02-09,312.88,9.600000000000001,0.972,0.976,2016-02-09,9,36,2016,2,9,2016-02-09 09:36:00
2016-02-10,322.64,10.3,0.972,0.976,2016-02-10,10,18,2016,2,10,2016-02-10 10:18:00
2016-02-11,319.40000000000003,11.0,0.972,0.976,2016-02-11,11,0,2016,2,11,2016-02-11 11:00:00
2016-02-12,322.34000000000003,10.100000000000001,0.972,0.976,2016-02-12,10,6,2016,2,12,2016-02-12 10:06:00
2016-02-13,322.22,10.8,0.972,0.976,2016-02-13,10,48,2016,2,13,2016-02-13 10:48:00
2016-02-14,321.58,9.9,0.972,0.976,2016-02-14,9,54,2016,2,14,2016-02-14 09:54:00
2016-02-15,322.8,10.600000000000001,0.972,0.976,2016-02-15,10,36,2016,2,15,2016-02-15 10:36:00
2016-02-16,312.82,9.700000000000001,0.974,0.978,2016-02-16,9,42,2016,2,16,2016-02-16 09:42:00
2016-02-17,318.84000000000003,10.4,0.972,0.976,2016-02-17,10,24,2016,2,17,2016-02-17 10:24:00
2016-02-28,320.58,10.100000000000001,0.972,0.976,2016-02-28,10,6,2016,2,28,2016-02-28 10:06:00
2016-02-29,319.88,10.8,0.972,0.976,2016-02-29,10,48,2016,2,29,2016-02-29 10:48:00
2016-03-01,318.02,9.9,0.972,0.976,2016-03-01,9,54,2016,3,1,2016-03-01 09:54:00
2016-03-02,322.74,10.600000000000001,0.972,0.976,2016-03-02,10,36,2016,3,2,2016-03-02 10:36:00
2016-03-03,311.86,9.700000000000001,0.972,0.976,2016-03-03,9,42,2016,3,3,2016-03-03 09:42:00
