strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2006-09-20,289.48,11.100000000000001,0.984,0.49,2006-09-20,11,6,2006,9,20,2006-09-20 11:06:00
2007-04-14,285.52,10.4,0.49,0.49,2007-04-14,10,24,2007,4,14,2007-04-14 10:24:00
2007-09-03,302.86,10.3,0.982,0.49,2007-09-03,10,18,2007,9,3,2007-09-03 10:18:00
2007-04-19,290.28000000000003,10.8,0.49,0.49,2007-04-19,10,48,2007,4,19,2007-04-19 10:48:00
2007-12-19,262.68,10.100000000000001,0.986,0.986,2007-12-19,10,6,2007,12,19,2007-12-19 10:06:00
2007-05-10,305.66,10.700000000000001,0.49,0.988,2007-05-10,10,42,2007,5,10,2007-05-10 10:42:00
2005-01-15,255.72,10.3,0.984,0.49,2005-01-15,10,18,2005,1,15,2005-01-15 10:18:00
2006-08-30,299.38,10.9,0.49,0.49,2006-08-30,10,54,2006,8,30,2006-08-30 10:54:00
2006-01-22,262.6,11.5,0.49,0.986,2006-01-22,11,30,2006,1,22,2006-01-22 11:30:00
2006-07-23,304.74,10.4,0.984,0.986,2006-07-23,10,24,2006,7,23,2006-07-23 10:24:00
2005-12-19,261.76,11.0,0.982,0.49,2005-12-19,11,0,2005,12,19,2005-12-19 11:00:00
2005-08-06,304.26,11.700000000000001,0.49,0.986,2005-08-06,11,42,2005,8,6,2005-08-06 11:42:00
2007-06-22,301.42,11.700000000000001,0.49,0.49,2007-06-22,11,42,2007,6,22,2007-06-22 11:42:00
2005-08-29,302.22,11.700000000000001,0.49,0.988,2005-08-29,11,42,2005,8,29,2005-08-29 11:42:00
2007-09-26,291.02,10.8,0.982,0.49,2007-09-26,10,48,2007,9,26,2007-09-26 10:48:00
2006-01-27,272.04,10.9,0.49,0.49,2006-01-27,10,54,2006,1,27,2006-01-27 10:54:00
2005-12-18,257.12,11.8,0.982,0.99,2005-12-18,11,48,2005,12,18,2005-12-18 11:48:00
2006-03-03,280.02,11.8,0.49,0.988,2006-03-03,11,48,2006,3,3,2006-03-03 11:48:00
2007-06-24,304.38,11.700000000000001,0.992,0.988,2007-06-24,11,42,2007,6,24,2007-06-24 11:42:00
2005-01-17,259.34000000000003,10.600000000000001,0.984,0.49,2005-01-17,10,36,2005,1,17,2005-01-17 10:36:00
2005-11-07,283.64,11.3,0.984,0.49,2005-11-07,11,18,2005,11,7,2005-11-07 11:18:00
2006-10-22,278.1,10.8,0.984,0.49,2006-10-22,10,48,2006,10,22,2006-10-22 10:48:00
2005-11-26,276.64,10.5,0.49,0.986,2005-11-26,10,30,2005,11,26,2005-11-26 10:30:00
2006-08-05,301.34000000000003,11.700000000000001,0.992,0.988,2006-08-05,11,42,2006,8,5,2006-08-05 11:42:00
2007-10-19,286.28000000000003,10.700000000000001,0.992,0.49,2007-10-19,10,42,2007,10,19,2007-10-19 10:42:00
2006-07-12,308.6,11.600000000000001,0.984,0.988,2006-07-12,11,36,2006,7,12,2006-07-12 11:36:00
2005-07-06,299.54,11.600000000000001,0.49,0.99,2005-07-06,11,36,2005,7,6,2005-07-06 11:36:00
2005-03-05,283.42,11.100000000000001,0.49,0.986,2005-03-05,11,6,2005,3,5,2005-03-05 11:06:00
2005-01-02,265.38,11.0,0.49,0.986,2005-01-02,11,0,2005,1,2,2005-01-02 11:00:00
2005-04-29,291.68,10.5,0.49,0.988,2005-04-29,10,30,2005,4,29,2005-04-29 10:30:00
2005-05-22,294.90000000000003,11.4,0.984,0.49,2005-05-22,11,24,2005,5,22,2005-05-22 11:24:00
