strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2005-01-02,265.38,10.3,0.994,0.99,2005-01-02,10,18,2005,1,2,2005-01-02 10:18:00
2005-01-03,265.46,11.0,0.992,0.99,2005-01-03,11,0,2005,1,3,2005-01-03 11:00:00
2005-01-14,250.98000000000002,10.700000000000001,0.992,0.99,2005-01-14,10,42,2005,1,14,2005-01-14 10:42:00
2005-01-15,255.72,11.4,0.992,0.99,2005-01-15,11,24,2005,1,15,2005-01-15 11:24:00
2005-01-17,259.34000000000003,11.200000000000001,0.992,0.99,2005-01-17,11,12,2005,1,17,2005-01-17 11:12:00
2005-01-25,279.12,12.0,0.984,0.986,2005-01-25,12,0,2005,1,25,2005-01-25 12:00:00
2005-02-02,277.66,11.200000000000001,0.982,0.986,2005-02-02,11,12,2005,2,2,2005-02-02 11:12:00
2005-02-03,277.62,10.3,0.984,0.986,2005-02-03,10,18,2005,2,3,2005-02-03 10:18:00
2005-02-04,282.12,11.0,0.982,0.986,2005-02-04,11,0,2005,2,4,2005-02-04 11:00:00
2005-02-05,278.1,10.100000000000001,0.984,0.986,2005-02-05,10,6,2005,2,5,2005-02-05 10:06:00
2005-02-11,281.24,11.100000000000001,0.984,0.988,2005-02-11,11,6,2005,2,11,2005-02-11 11:06:00
2005-02-14,280.28000000000003,11.600000000000001,0.984,0.986,2005-02-14,11,36,2005,2,14,2005-02-14 11:36:00
2005-02-15,272.36,10.700000000000001,0.982,0.986,2005-02-15,10,42,2005,2,15,2005-02-15 10:42:00
2005-02-16,271.56,11.4,0.982,0.986,2005-02-16,11,24,2005,2,16,2005-02-16 11:24:00
2005-02-18,276.46,11.200000000000001,0.982,0.986,2005-02-18,11,12,2005,2,18,2005-02-18 11:12:00
2005-02-26,270.94,10.4,0.992,0.99,2005-02-26,10,24,2005,2,26,2005-02-26 10:24:00
2005-03-01,276.38,10.9,0.982,0.986,2005-03-01,10,54,2005,3,1,2005-03-01 10:54:00
2005-03-02,277.86,11.600000000000001,0.984,0.988,2005-03-02,11,36,2005,3,2,2005-03-02 11:36:00
2005-03-03,280.08,10.700000000000001,0.982,0.986,2005-03-03,10,42,2005,3,3,2005-03-03 10:42:00
2005-03-04,281.32,11.4,0.984,0.988,2005-03-04,11,24,2005,3,4,2005-03-04 11:24:00
