strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2016-08-05,306.54,10.100000000000001,0.49,0.986,2016-08-05,10,6,2016,8,5,2016-08-05 10:06:00
2016-08-06,306.56,10.4,0.49,0.49,2016-08-06,10,24,2016,8,6,2016-08-06 10:24:00
2016-08-10,0.0,10.9,0.49,0.49,2016-08-10,10,54,2016,8,10,2016-08-10 10:54:00
2016-08-11,311.44,10.700000000000001,0.49,0.986,2016-08-11,10,42,2016,8,11,2016-08-11 10:42:00
2016-08-15,309.16,10.0,0.982,0.49,2016-08-15,10,0,2016,8,15,2016-08-15 10:00:00
2016-08-18,312.78000000000003,10.4,0.984,0.49,2016-08-18,10,24,2016,8,18,2016-08-18 10:24:00
2016-08-26,0.0,10.700000000000001,0.49,0.986,2016-08-26,10,42,2016,8,26,2016-08-26 10:42:00
2016-08-27,313.74,10.0,0.49,0.49,2016-08-27,10,0,2016,8,27,2016-08-27 10:00:00
2016-08-28,312.32,10.600000000000001,0.982,0.988,2016-08-28,10,36,2016,8,28,2016-08-28 10:36:00
2016-09-01,0.0,10.200000000000001,0.49,0.988,2016-09-01,10,12,2016,9,1,2016-09-01 10:12:00
2016-09-03,309.66,10.100000000000001,0.984,0.986,2016-09-03,10,6,2016,9,3,2016-09-03 10:06:00
2016-09-05,311.98,10.200000000000001,0.49,0.49,2016-09-05,10,12,2016,9,5,2016-09-05 10:12:00
2016-09-06,314.86,10.9,0.49,0.986,2016-09-06,10,54,2016,9,6,2016-09-06 10:54:00
2016-09-08,310.28000000000003,10.3,0.49,0.49,2016-09-08,10,18,2016,9,8,2016-09-08 10:18:00
2016-09-09,308.78000000000003,10.5,0.49,0.49,2016-09-09,10,30,2016,9,9,2016-09-09 10:30:00
2016-09-12,313.2,10.8,0.49,0.49,2016-09-12,10,48,2016,9,12,2016-09-12 10:48:00
2016-09-13,0.0,10.3,0.984,0.49,2016-09-13,10,18,2016,9,13,2016-09-13 10:18:00
2016-09-17,0.0,10.5,0.984,0.49,2016-09-17,10,30,2016,9,17,2016-09-17 10:30:00
2016-09-18,0.0,10.5,0.49,0.49,2016-09-18,10,30,2016,9,18,2016-09-18 10:30:00
2016-09-22,310.52,10.100000000000001,0.982,0.49,2016-09-22,10,6,2016,9,22,2016-09-22 10:06:00
2016-09-26,311.94,10.600000000000001,0.49,0.986,2016-09-26,10,36,2016,9,26,2016-09-26 10:36:00
2016-09-27,0.0,10.600000000000001,0.49,0.49,2016-09-27,10,36,2016,9,27,2016-09-27 10:36:00
2016-09-28,311.6,10.0,0.982,0.988,2016-09-28,10,0,2016,9,28,2016-09-28 10:00:00
2016-10-06,0.0,10.200000000000001,0.984,0.988,2016-10-06,10,12,2016,10,6,2016-10-06 10:12:00
2016-10-07,317.58,10.4,0.984,0.988,2016-10-07,10,24,2016,10,7,2016-10-07 10:24:00
2016-10-08,318.68,10.3,0.982,0.49,2016-10-08,10,18,2016,10,8,2016-10-08 10:18:00
2016-10-10,311.02,10.200000000000001,0.49,0.986,2016-10-10,10,12,2016,10,10,2016-10-10 10:12:00
2016-10-12,0.0,10.700000000000001,0.982,0.986,2016-10-12,10,42,2016,10,12,2016-10-12 10:42:00
2016-10-19,310.74,10.9,0.982,0.49,2016-10-19,10,54,2016,10,19,2016-10-19 10:54:00
2016-10-23,0.0,10.0,0.49,0.49,2016-10-23,10,0,2016,10,23,2016-10-23 10:00:00
2016-10-25,0.0,10.8,0.982,0.986,2016-10-25,10,48,2016,10,25,2016-10-25 10:48:00
2016-10-27,0.0,10.700000000000001,0.49,0.49,2016-10-27,10,42,2016,10,27,2016-10-27 10:42:00
2016-10-29,0.0,10.100000000000001,0.49,0.986,2016-10-29,10,6,2016,10,29,2016-10-29 10:06:00
2016-11-01,0.0,10.100000000000001,0.982,0.49,2016-11-01,10,6,2016,11,1,2016-11-01 10:06:00
2016-11-04,314.34000000000003,10.5,0.49,0.49,2016-11-04,10,30,2016,11,4,2016-11-04 10:30:00
2016-11-13,316.04,10.600000000000001,0.49,0.988,2016-11-13,10,36,2016,11,13,2016-11-13 10:36:00
2016-11-16,0.0,9.9,0.984,0.49,2016-11-16,9,54,2016,11,16,2016-11-16 09:54:00
2016-11-17,0.0,10.8,0.49,0.986,2016-11-17,10,48,2016,11,17,2016-11-17 10:48:00
2016-11-18,307.40000000000003,10.4,0.984,0.49,2016-11-18,10,24,2016,11,18,2016-11-18 10:24:00
2016-11-23,0.0,10.8,0.49,0.49,2016-11-23,10,48,2016,11,23,2016-11-23 10:48:00
2016-11-24,0.0,10.600000000000001,0.984,0.49,2016-11-24,10,36,2016,11,24,2016-11-24 10:36:00
2016-11-28,0.0,9.8,0.982,0.49,2016-11-28,9,48,2016,11,28,2016-11-28 09:48:00
2016-12-08,311.98,10.8,0.49,0.988,2016-12-08,10,48,2016,12,8,2016-12-08 10:48:00
2016-12-11,0.0,10.4,0.49,0.988,2016-12-11,10,24,2016,12,11,2016-12-11 10:24:00
2016-12-12,0.0,10.3,0.982,0.988,2016-12-12,10,18,2016,12,12,2016-12-12 10:18:00
2016-12-14,0.0,10.600000000000001,0.49,0.49,2016-12-14,10,36,2016,12,14,2016-12-14 10:36:00
2016-12-18,0.0,10.4,0.49,0.49,2016-12-18,10,24,2016,12,18,2016-12-18 10:24:00
2016-12-19,0.0,9.700000000000001,0.984,0.988,2016-12-19,9,42,2016,12,19,2016-12-19 09:42:00
2016-12-20,0.0,9.9,0.49,0.49,2016-12-20,9,54,2016,12,20,2016-12-20 09:54:00
2016-12-22,0.0,10.4,0.49,0.986,2016-12-22,10,24,2016,12,22,2016-12-22 10:24:00
2016-12-24,0.0,10.200000000000001,0.984,0.986,2016-12-24,10,12,2016,12,24,2016-12-24 10:12:00
2016-12-27,0.0,10.8,0.984,0.49,2016-12-27,10,48,2016,12,27,2016-12-27 10:48:00
2016-12-28,0.0,10.100000000000001,0.49,0.49,2016-12-28,10,6,2016,12,28,2016-12-28 10:06:00
2017-01-01,0.0,10.9,0.49,0.986,2017-01-01,10,54,2017,1,1,2017-01-01 10:54:00
2017-01-02,0.0,10.700000000000001,0.984,0.49,2017-01-02,10,42,2017,1,2,2017-01-02 10:42:00
2017-01-03,0.0,10.4,0.984,0.49,2017-01-03,10,24,2017,1,3,2017-01-03 10:24:00
2017-01-04,0.0,10.3,0.49,0.986,2017-01-04,10,18,2017,1,4,2017-01-04 10:18:00
2017-01-05,0.0,9.8,0.49,0.49,2017-01-05,9,48,2017,1,5,2017-01-05 09:48:00
2017-01-10,0.0,10.8,0.982,0.49,2017-01-10,10,48,2017,1,10,2017-01-10 10:48:00
2017-01-12,0.0,9.9,0.49,0.49,2017-01-12,9,54,2017,1,12,2017-01-12 09:54:00
2017-01-15,0.0,9.8,0.984,0.986,2017-01-15,9,48,2017,1,15,2017-01-15 09:48:00
2017-01-16,0.0,9.700000000000001,0.982,0.49,2017-01-16,9,42,2017,1,16,2017-01-16 09:42:00
2017-01-20,0.0,10.9,0.49,0.988,2017-01-20,10,54,2017,1,20,2017-01-20 10:54:00
2017-01-21,0.0,10.200000000000001,0.49,0.49,2017-01-21,10,12,2017,1,21,2017-01-21 10:12:00
2017-01-23,0.0,10.5,0.984,0.49,2017-01-23,10,30,2017,1,23,2017-01-23 10:30:00
2017-01-24,0.0,9.9,0.49,0.986,2017-01-24,9,54,2017,1,24,2017-01-24 09:54:00
2017-01-27,0.0,10.4,0.984,0.49,2017-01-27,10,24,2017,1,27,2017-01-27 10:24:00
2017-01-28,303.0,10.100000000000001,0.982,0.49,2017-01-28,10,6,2017,1,28,2017-01-28 10:06:00
2017-01-30,0.0,10.9,0.49,0.986,2017-01-30,10,54,2017,1,30,2017-01-30 10:54:00
2017-02-02,0.0,10.4,0.49,0.986,2017-02-02,10,24,2017,2,2,2017-02-02 10:24:00
2017-02-05,0.0,10.200000000000001,0.49,0.988,2017-02-05,10,12,2017,2,5,2017-02-05 10:12:00
