strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2018-09-13,310.14,10.4,0.49,0.49,2018-09-13,10,24,2018,9,13,2018-09-13 10:24:00
2017-01-28,302.6,10.700000000000001,0.982,0.986,2017-01-28,10,42,2017,1,28,2017-01-28 10:42:00
2016-09-08,311.22,10.3,0.982,0.986,2016-09-08,10,18,2016,9,8,2016-09-08 10:18:00
2018-08-11,311.24,10.100000000000001,0.984,0.49,2018-08-11,10,6,2018,8,11,2018-08-11 10:06:00
2017-07-11,307.06,10.9,0.49,0.986,2017-07-11,10,54,2017,7,11,2017-07-11 10:54:00
2018-09-09,316.22,10.100000000000001,0.49,0.49,2018-09-09,10,6,2018,9,9,2018-09-09 10:06:00
2018-04-25,307.46,10.600000000000001,0.49,0.49,2018-04-25,10,36,2018,4,25,2018-04-25 10:36:00
2017-02-22,307.66,10.700000000000001,0.982,0.986,2017-02-22,10,42,2017,2,22,2017-02-22 10:42:00
2016-09-10,316.16,10.600000000000001,0.984,0.986,2016-09-10,10,36,2016,9,10,2016-09-10 10:36:00
2018-06-16,306.7,9.9,0.49,0.49,2018-06-16,9,54,2018,6,16,2018-06-16 09:54:00
2016-06-20,308.5,10.200000000000001,0.49,0.49,2016-06-20,10,12,2016,6,20,2016-06-20 10:12:00
2017-06-30,305.02,10.600000000000001,0.982,0.986,2017-06-30,10,36,2017,6,30,2017-06-30 10:36:00
2017-07-27,308.96,10.600000000000001,0.49,0.49,2017-07-27,10,36,2017,7,27,2017-07-27 10:36:00
2018-05-16,304.92,9.9,0.49,0.986,2018-05-16,9,54,2018,5,16,2018-05-16 09:54:00
2016-11-20,307.52,9.9,0.49,0.986,2016-11-20,9,54,2016,11,20,2016-11-20 09:54:00
2016-08-14,312.08,10.200000000000001,0.982,0.986,2016-08-14,10,12,2016,8,14,2016-08-14 10:12:00
2018-05-04,307.14,9.9,0.984,0.986,2018-05-04,9,54,2018,5,4,2018-05-04 09:54:00
2017-06-13,301.42,10.600000000000001,0.982,0.986,2017-06-13,10,36,2017,6,13,2017-06-13 10:36:00
2018-07-28,303.08,9.9,0.49,0.986,2018-07-28,9,54,2018,7,28,2018-07-28 09:54:00
2018-10-02,320.06,10.700000000000001,0.984,0.986,2018-10-02,10,42,2018,10,2,2018-10-02 10:42:00
2018-10-04,318.12,10.4,0.49,0.986,2018-10-04,10,24,2018,10,4,2018-10-04 10:24:00
2018-07-30,310.62,9.8,0.984,0.49,2018-07-30,9,48,2018,7,30,2018-07-30 09:48:00
2018-04-02,308.22,10.0,0.49,0.49,2018-04-02,10,0,2018,4,2,2018-04-02 10:00:00
2016-05-14,305.94,11.0,0.982,0.49,2016-05-14,11,0,2016,5,14,2016-05-14 11:00:00
2018-06-19,306.40000000000003,10.200000000000001,0.982,0.49,2018-06-19,10,12,2018,6,19,2018-06-19 10:12:00
2016-11-15,306.58,10.700000000000001,0.49,0.986,2016-11-15,10,42,2016,11,15,2016-11-15 10:42:00
2017-06-27,305.7,10.0,0.49,0.49,2017-06-27,10,0,2017,6,27,2017-06-27 10:00:00
2017-08-07,309.02,9.9,0.49,0.49,2017-08-07,9,54,2017,8,7,2017-08-07 09:54:00
2017-06-16,307.16,10.4,0.984,0.49,2017-06-16,10,24,2017,6,16,2017-06-16 10:24:00
2018-09-02,314.66,10.9,0.49,0.49,2018-09-02,10,54,2018,9,2,2018-09-02 10:54:00
2018-06-02,303.98,10.3,0.982,0.49,2018-06-02,10,18,2018,6,2,2018-06-02 10:18:00
2017-05-12,305.22,10.3,0.49,0.986,2017-05-12,10,18,2017,5,12,2017-05-12 10:18:00
2017-09-16,314.86,10.8,0.49,0.986,2017-09-16,10,48,2017,9,16,2017-09-16 10:48:00
2017-03-17,306.32,9.8,0.984,0.49,2017-03-17,9,48,2017,3,17,2017-03-17 09:48:00
2017-08-12,311.98,10.200000000000001,0.49,0.49,2017-08-12,10,12,2017,8,12,2017-08-12 10:12:00
2017-11-04,308.52,9.700000000000001,0.49,0.49,2017-11-04,9,42,2017,11,4,2017-11-04 09:42:00
2016-07-27,309.3,10.5,0.49,0.49,2016-07-27,10,30,2016,7,27,2016-07-27 10:30:00
2018-10-25,314.74,10.600000000000001,0.49,0.986,2018-10-25,10,36,2018,10,25,2018-10-25 10:36:00
2016-07-01,310.16,10.700000000000001,0.982,0.49,2016-07-01,10,42,2016,7,1,2016-07-01 10:42:00
2018-08-29,313.06,10.5,0.982,0.986,2018-08-29,10,30,2018,8,29,2018-08-29 10:30:00
2016-01-02,305.5,10.3,0.49,0.49,2016-01-02,10,18,2016,1,2,2016-01-02 10:18:00
2016-05-30,304.12,10.700000000000001,0.984,0.49,2016-05-30,10,42,2016,5,30,2016-05-30 10:42:00
2018-07-13,301.24,10.200000000000001,0.984,0.49,2018-07-13,10,12,2018,7,13,2018-07-13 10:12:00
2017-09-07,311.28000000000003,10.600000000000001,0.49,0.49,2017-09-07,10,36,2017,9,7,2017-09-07 10:36:00
2016-06-16,301.16,10.4,0.49,0.49,2016-06-16,10,24,2016,6,16,2016-06-16 10:24:00
2016-08-04,305.46,9.9,0.982,0.49,2016-08-04,9,54,2016,8,4,2016-08-04 09:54:00
2017-02-26,304.46,10.0,0.49,0.49,2017-02-26,10,0,2017,2,26,2017-02-26 10:00:00
2017-06-12,299.40000000000003,10.4,0.982,0.986,2017-06-12,10,24,2017,6,12,2017-06-12 10:24:00
2017-12-21,304.2,11.0,0.49,0.49,2017-12-21,11,0,2017,12,21,2017-12-21 11:00:00
2018-10-24,306.26,10.8,0.984,0.986,2018-10-24,10,48,2018,10,24,2018-10-24 10:48:00
2017-03-02,306.88,10.600000000000001,0.984,0.986,2017-03-02,10,36,2017,3,2,2017-03-02 10:36:00
2017-10-11,307.66,10.100000000000001,0.982,0.49,2017-10-11,10,6,2017,10,11,2017-10-11 10:06:00
2018-05-05,303.5,10.9,0.982,0.986,2018-05-05,10,54,2018,5,5,2018-05-05 10:54:00
2016-02-29,305.92,11.0,0.49,0.986,2016-02-29,11,0,2016,2,29,2016-02-29 11:00:00
2017-09-09,312.86,10.3,0.982,0.986,2017-09-09,10,18,2017,9,9,2017-09-09 10:18:00
2016-04-29,301.34000000000003,10.100000000000001,0.49,0.986,2016-04-29,10,6,2016,4,29,2016-04-29 10:06:00
2016-11-10,303.46,9.700000000000001,0.49,0.49,2016-11-10,9,42,2016,11,10,2016-11-10 09:42:00
2018-06-09,304.54,9.9,0.982,0.49,2018-06-09,9,54,2018,6,9,2018-06-09 09:54:00
2018-07-01,306.40000000000003,10.3,0.984,0.49,2018-07-01,10,18,2018,7,1,2018-07-01 10:18:00
2018-07-19,308.6,10.100000000000001,0.984,0.986,2018-07-19,10,6,2018,7,19,2018-07-19 10:06:00
2016-03-09,302.36,10.4,0.49,0.986,2016-03-09,10,24,2016,3,9,2016-03-09 10:24:00
2017-09-22,313.96,10.9,0.982,0.986,2017-09-22,10,54,2017,9,22,2017-09-22 10:54:00
2017-09-12,305.68,10.9,0.49,0.49,2017-09-12,10,54,2017,9,12,2017-09-12 10:54:00
2018-05-15,301.96,10.5,0.982,0.986,2018-05-15,10,30,2018,5,15,2018-05-15 10:30:00
2016-08-02,313.66,10.8,0.982,0.986,2016-08-02,10,48,2016,8,2,2016-08-02 10:48:00
2017-06-28,303.56,10.200000000000001,0.49,0.986,2017-06-28,10,12,2017,6,28,2017-06-28 10:12:00
2018-08-10,310.94,11.0,0.984,0.986,2018-08-10,11,0,2018,8,10,2018-08-10 11:00:00
2017-08-16,306.52,10.100000000000001,0.49,0.49,2017-08-16,10,6,2017,8,16,2017-08-16 10:06:00
2018-06-22,306.74,9.700000000000001,0.49,0.49,2018-06-22,9,42,2018,6,22,2018-06-22 09:42:00
2018-08-25,307.6,9.8,0.982,0.986,2018-08-25,9,48,2018,8,25,2018-08-25 09:48:00
2017-08-24,312.5,10.700000000000001,0.982,0.49,2017-08-24,10,42,2017,8,24,2017-08-24 10:42:00
