strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2016-01-02,306.76,10.200000000000001,0.98,0.984,2016-01-02,10,12,2016,1,2,2016-01-02 10:12:00
2016-01-03,308.22,10.9,0.982,0.986,2016-01-03,10,54,2016,1,3,2016-01-03 10:54:00
2016-01-04,309.88,10.0,0.98,0.984,2016-01-04,10,0,2016,1,4,2016-01-04 10:00:00
2016-01-05,307.72,10.700000000000001,0.982,0.986,2016-01-05,10,42,2016,1,5,2016-01-05 10:42:00
2016-01-07,313.66,10.5,0.982,0.986,2016-01-07,10,30,2016,1,7,2016-01-07 10:30:00
2016-01-09,314.96,10.3,0.982,0.986,2016-01-09,10,18,2016,1,9,2016-01-09 10:18:00
2016-01-11,317.02,10.100000000000001,0.98,0.984,2016-01-11,10,6,2016,1,11,2016-01-11 10:06:00
2016-01-16,313.54,10.4,0.982,0.986,2016-01-16,10,24,2016,1,16,2016-01-16 10:24:00
2016-01-18,314.56,10.200000000000001,0.982,0.986,2016-01-18,10,12,2016,1,18,2016-01-18 10:12:00
2016-01-21,312.94,10.700000000000001,0.982,0.986,2016-01-21,10,42,2016,1,21,2016-01-21 10:42:00
2016-01-27,307.7,10.100000000000001,0.98,0.984,2016-01-27,10,6,2016,1,27,2016-01-27 10:06:00
2016-02-06,306.32,10.700000000000001,0.982,0.986,2016-02-06,10,42,2016,2,6,2016-02-06 10:42:00
2016-02-07,306.66,9.8,0.982,0.986,2016-02-07,9,48,2016,2,7,2016-02-07 09:48:00
2016-02-08,307.40000000000003,10.5,0.982,0.986,2016-02-08,10,30,2016,2,8,2016-02-08 10:30:00
2016-02-12,308.68,10.100000000000001,0.982,0.986,2016-02-12,10,6,2016,2,12,2016-02-12 10:06:00
2016-02-13,310.90000000000003,10.8,0.982,0.986,2016-02-13,10,48,2016,2,13,2016-02-13 10:48:00
2016-02-14,311.56,9.9,0.982,0.986,2016-02-14,9,54,2016,2,14,2016-02-14 09:54:00
2016-02-15,314.54,10.600000000000001,0.982,0.986,2016-02-15,10,36,2016,2,15,2016-02-15 10:36:00
2016-02-16,305.3,9.700000000000001,0.98,0.984,2016-02-16,9,42,2016,2,16,2016-02-16 09:42:00
2016-02-17,315.62,10.4,0.982,0.986,2016-02-17,10,24,2016,2,17,2016-02-17 10:24:00
2016-02-28,313.0,10.100000000000001,0.98,0.984,2016-02-28,10,6,2016,2,28,2016-02-28 10:06:00
2016-02-29,310.68,10.8,0.982,0.986,2016-02-29,10,48,2016,2,29,2016-02-29 10:48:00
2016-03-01,312.74,9.9,0.982,0.986,2016-03-01,9,54,2016,3,1,2016-03-01 09:54:00
2016-03-02,316.42,10.600000000000001,0.98,0.984,2016-03-02,10,36,2016,3,2,2016-03-02 10:36:00
2016-03-04,316.44,10.4,0.982,0.986,2016-03-04,10,24,2016,3,4,2016-03-04 10:24:00
2016-03-20,313.68,10.4,0.982,0.986,2016-03-20,10,24,2016,3,20,2016-03-20 10:24:00
2016-03-22,312.64,10.200000000000001,0.982,0.986,2016-03-22,10,12,2016,3,22,2016-03-22 10:12:00
2016-03-23,306.14,10.9,0.98,0.984,2016-03-23,10,54,2016,3,23,2016-03-23 10:54:00
2016-03-24,311.62,10.0,0.98,0.984,2016-03-24,10,0,2016,3,24,2016-03-24 10:00:00
2016-03-25,313.42,10.700000000000001,0.982,0.986,2016-03-25,10,42,2016,3,25,2016-03-25 10:42:00
2016-03-27,315.90000000000003,10.5,0.982,0.986,2016-03-27,10,30,2016,3,27,2016-03-27 10:30:00
2016-03-29,315.78000000000003,10.3,0.982,0.986,2016-03-29,10,18,2016,3,29,2016-03-29 10:18:00
2016-03-31,309.40000000000003,10.100000000000001,0.98,0.984,2016-03-31,10,6,2016,3,31,2016-03-31 10:06:00
2016-04-01,310.38,10.8,0.974,0.978,2016-04-01,10,48,2016,4,1,2016-04-01 10:48:00
2016-04-02,306.26,9.9,0.982,0.984,2016-04-02,9,54,2016,4,2,2016-04-02 09:54:00
2016-04-03,315.0,10.600000000000001,0.982,0.986,2016-04-03,10,36,2016,4,3,2016-04-03 10:36:00
