strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2017-01-28,302.6,10.8,0.984,0.986,2017-01-28,10,48,2017,1,28,2017-01-28 10:48:00
2017-01-29,302.86,9.9,0.984,0.986,2017-01-29,9,54,2017,1,29,2017-01-29 09:54:00
2017-02-15,302.98,10.600000000000001,0.982,0.986,2017-02-15,10,36,2017,2,15,2017-02-15 10:36:00
2017-02-20,304.58,10.9,0.984,0.986,2017-02-20,10,54,2017,2,20,2017-02-20 10:54:00
2017-02-21,306.94,10.0,0.982,0.986,2017-02-21,10,0,2017,2,21,2017-02-21 10:00:00
2017-02-22,307.66,10.700000000000001,0.982,0.986,2017-02-22,10,42,2017,2,22,2017-02-22 10:42:00
2017-02-23,301.82,9.8,0.984,0.986,2017-02-23,9,48,2017,2,23,2017-02-23 09:48:00
2017-02-26,304.46,10.3,0.982,0.986,2017-02-26,10,18,2017,2,26,2017-02-26 10:18:00
2017-02-28,306.46,10.100000000000001,0.982,0.986,2017-02-28,10,6,2017,2,28,2017-02-28 10:06:00
2017-03-02,306.88,9.9,0.984,0.986,2017-03-02,9,54,2017,3,2,2017-03-02 09:54:00
2017-03-03,308.16,10.600000000000001,0.982,0.986,2017-03-03,10,36,2017,3,3,2017-03-03 10:36:00
2017-03-12,304.08,10.5,0.982,0.986,2017-03-12,10,30,2017,3,12,2017-03-12 10:30:00
2017-03-17,306.32,10.8,0.982,0.986,2017-03-17,10,48,2017,3,17,2017-03-17 10:48:00
2017-03-30,305.68,10.3,0.982,0.986,2017-03-30,10,18,2017,3,30,2017-03-30 10:18:00
2017-04-02,304.04,10.8,0.984,0.986,2017-04-02,10,48,2017,4,2,2017-04-02 10:48:00
2017-04-05,303.62,9.700000000000001,0.984,0.986,2017-04-05,9,42,2017,4,5,2017-04-05 09:42:00
2017-04-13,302.66,10.5,0.982,0.986,2017-04-13,10,30,2017,4,13,2017-04-13 10:30:00
2017-04-17,304.06,10.100000000000001,0.982,0.986,2017-04-17,10,6,2017,4,17,2017-04-17 10:06:00
2017-04-19,301.92,9.9,0.984,0.986,2017-04-19,9,54,2017,4,19,2017-04-19 09:54:00
2017-04-20,305.72,10.600000000000001,0.982,0.986,2017-04-20,10,36,2017,4,20,2017-04-20 10:36:00
2017-04-22,307.02,10.4,0.982,0.986,2017-04-22,10,24,2017,4,22,2017-04-22 10:24:00
2017-04-24,306.32,10.200000000000001,0.982,0.986,2017-04-24,10,12,2017,4,24,2017-04-24 10:12:00
2017-04-25,302.6,10.9,0.984,0.986,2017-04-25,10,54,2017,4,25,2017-04-25 10:54:00
2017-04-29,303.64,10.5,0.982,0.986,2017-04-29,10,30,2017,4,29,2017-04-29 10:30:00
2017-05-01,305.96,10.3,0.982,0.986,2017-05-01,10,18,2017,5,1,2017-05-01 10:18:00
2017-05-02,304.40000000000003,11.0,0.984,0.986,2017-05-02,11,0,2017,5,2,2017-05-02 11:00:00
2017-05-04,305.08,10.8,0.982,0.986,2017-05-04,10,48,2017,5,4,2017-05-04 10:48:00
2017-05-05,303.16,9.9,0.984,0.986,2017-05-05,9,54,2017,5,5,2017-05-05 09:54:00
2017-05-06,306.38,10.600000000000001,0.982,0.986,2017-05-06,10,36,2017,5,6,2017-05-06 10:36:00
2017-05-07,301.94,9.700000000000001,0.984,0.986,2017-05-07,9,42,2017,5,7,2017-05-07 09:42:00
2017-05-08,307.84000000000003,10.4,0.982,0.986,2017-05-08,10,24,2017,5,8,2017-05-08 10:24:00
2017-05-10,306.8,10.200000000000001,0.982,0.986,2017-05-10,10,12,2017,5,10,2017-05-10 10:12:00
2017-05-12,305.22,10.0,0.982,0.986,2017-05-12,10,0,2017,5,12,2017-05-12 10:00:00
2017-05-13,306.32,10.700000000000001,0.982,0.986,2017-05-13,10,42,2017,5,13,2017-05-13 10:42:00
2017-05-15,308.1,10.5,0.982,0.986,2017-05-15,10,30,2017,5,15,2017-05-15 10:30:00
2017-05-17,307.84000000000003,10.3,0.982,0.986,2017-05-17,10,18,2017,5,17,2017-05-17 10:18:00
2017-05-18,305.52,11.0,0.984,0.986,2017-05-18,11,0,2017,5,18,2017-05-18 11:00:00
2017-05-19,308.90000000000003,10.100000000000001,0.982,0.986,2017-05-19,10,6,2017,5,19,2017-05-19 10:06:00
2017-05-20,307.12,10.8,0.982,0.986,2017-05-20,10,48,2017,5,20,2017-05-20 10:48:00
2017-05-21,304.84000000000003,9.9,0.984,0.986,2017-05-21,9,54,2017,5,21,2017-05-21 09:54:00
2017-05-22,308.90000000000003,10.600000000000001,0.982,0.986,2017-05-22,10,36,2017,5,22,2017-05-22 10:36:00
2017-05-24,309.82,10.4,0.982,0.986,2017-05-24,10,24,2017,5,24,2017-05-24 10:24:00
2017-05-26,307.0,10.200000000000001,0.982,0.986,2017-05-26,10,12,2017,5,26,2017-05-26 10:12:00
