strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2005-04-28,308.7,10.9,0.49,0.976,2005-04-28,10,54,2005,4,28,2005-04-28 10:54:00
2005-11-03,291.92,11.4,0.972,0.976,2005-11-03,11,24,2005,11,3,2005-11-03 11:24:00
2005-06-25,312.8,11.3,0.972,0.976,2005-06-25,11,18,2005,6,25,2005-06-25 11:18:00
2005-07-14,307.04,11.5,0.972,0.976,2005-07-14,11,30,2005,7,14,2005-07-14 11:30:00
2005-01-09,284.62,10.9,0.972,0.976,2005-01-09,10,54,2005,1,9,2005-01-09 10:54:00
2005-07-25,311.72,11.100000000000001,0.972,0.976,2005-07-25,11,6,2005,7,25,2005-07-25 11:06:00
2005-08-09,309.78000000000003,11.600000000000001,0.49,0.976,2005-08-09,11,36,2005,8,9,2005-08-09 11:36:00
2005-06-23,314.18,11.3,0.972,0.49,2005-06-23,11,18,2005,6,23,2005-06-23 11:18:00
2005-11-26,298.78000000000003,11.4,0.972,0.49,2005-11-26,11,24,2005,11,26,2005-11-26 11:24:00
2005-08-12,314.28000000000003,10.4,0.972,0.976,2005-08-12,10,24,2005,8,12,2005-08-12 10:24:00
2005-10-17,299.48,11.5,0.49,0.49,2005-10-17,11,30,2005,10,17,2005-10-17 11:30:00
2005-03-13,288.24,11.0,0.972,0.976,2005-03-13,11,0,2005,3,13,2005-03-13 11:00:00
2005-05-10,309.66,11.100000000000001,0.972,0.976,2005-05-10,11,6,2005,5,10,2005-05-10 11:06:00
2005-09-14,308.48,11.5,0.972,0.976,2005-09-14,11,30,2005,9,14,2005-09-14 11:30:00
2005-07-12,313.98,11.600000000000001,0.972,0.976,2005-07-12,11,36,2005,7,12,2005-07-12 11:36:00
2005-09-22,314.58,10.5,0.972,0.976,2005-09-22,10,30,2005,9,22,2005-09-22 10:30:00
2005-07-06,310.44,11.0,0.972,0.976,2005-07-06,11,0,2005,7,6,2005-07-06 11:00:00
2005-09-26,310.88,11.0,0.972,0.976,2005-09-26,11,0,2005,9,26,2005-09-26 11:00:00
2005-10-23,299.52,11.4,0.972,0.976,2005-10-23,11,24,2005,10,23,2005-10-23 11:24:00
2005-10-25,300.58,11.200000000000001,0.972,0.976,2005-10-25,11,12,2005,10,25,2005-10-25 11:12:00
